   Position (m)       Function
0.009901 0.010906 0.096171 -0.040709
0.019802 0.003989 -0.061497 -0.014392
0.029703 0.036437 -0.018840 -0.189953
0.039604 0.031841 0.122795 -0.129469
0.049505 0.007988 0.085672 0.025468
0.059406 0.003456 -0.027742 0.051834
0.069307 0.001234 -0.034925 -0.003781
0.079208 0.002708 0.051478 0.007594
0.089109 0.021286 0.096359 0.109551
0.099010 0.040961 0.031053 0.199992
0.108911 0.044848 -0.088874 0.192221
0.118812 0.039417 -0.169053 0.104105
0.128713 0.031327 -0.175263 0.024704
0.138614 0.023113 -0.150067 0.024358
0.148515 0.034656 -0.155785 0.101916
0.158416 0.086262 -0.212617 0.202624
0.168317 0.155948 -0.284979 0.273377
0.178218 0.191728 -0.316585 0.302493
0.188119 0.177653 -0.277147 0.317558
0.198020 0.158400 -0.183666 0.353082
0.207921 0.182853 -0.085678 0.418942
0.217822 0.244006 -0.030923 0.493001
0.227723 0.292307 -0.037483 0.539354
0.237624 0.294871 -0.088812 0.535708
0.247525 0.262734 -0.150366 0.490025
0.257426 0.228070 -0.193574 0.436576
0.267327 0.217636 -0.211411 0.415862
0.277228 0.251754 -0.217987 0.451925
0.287129 0.347352 -0.235379 0.540323
0.297030 0.502543 -0.277723 0.652237
0.306931 0.680736 -0.342241 0.750738
0.316832 0.824231 -0.411286 0.809367
0.326733 0.891970 -0.462580 0.823401
0.336634 0.885984 -0.480784 0.809216
0.346535 0.845031 -0.463850 0.793646
0.356436 0.817280 -0.421454 0.799785
0.366337 0.834600 -0.367477 0.836397
0.376238 0.898752 -0.311455 0.895403
0.386139 0.981400 -0.253918 0.957562
0.396040 1.040872 -0.187877 1.002783
0.405941 1.051317 -0.105217 1.019925
0.415842 1.023826 -0.004160 1.011834
0.425743 0.999206 0.106473 0.993916
0.435644 1.018443 0.208680 0.987368
0.445545 1.100061 0.281956 1.010229
0.455446 1.242060 0.312155 1.069869
0.465347 1.433789 0.298327 1.159651
0.475248 1.654050 0.254216 1.260724
0.485149 1.858706 0.203476 1.348074
0.495050 1.985186 0.170464 1.398617
0.504950 1.985186 0.170464 1.398617
0.514851 1.858706 0.203476 1.348074
0.524752 1.654050 0.254216 1.260724
0.534653 1.433789 0.298327 1.159651
0.544554 1.242060 0.312155 1.069869
0.554455 1.100061 0.281956 1.010229
0.564356 1.018443 0.208680 0.987368
0.574257 0.999206 0.106473 0.993916
0.584158 1.023826 -0.004160 1.011834
0.594059 1.051317 -0.105217 1.019925
0.603960 1.040872 -0.187877 1.002783
0.613861 0.981400 -0.253918 0.957562
0.623762 0.898752 -0.311455 0.895403
0.633663 0.834600 -0.367477 0.836397
0.643564 0.817280 -0.421454 0.799785
0.653465 0.845031 -0.463850 0.793646
0.663366 0.885984 -0.480784 0.809216
0.673267 0.891970 -0.462580 0.823401
0.683168 0.824231 -0.411286 0.809367
0.693069 0.680736 -0.342241 0.750738
0.702970 0.502543 -0.277723 0.652237
0.712871 0.347352 -0.235379 0.540323
0.722772 0.251754 -0.217987 0.451925
0.732673 0.217636 -0.211411 0.415862
0.742574 0.228070 -0.193574 0.436576
0.752475 0.262734 -0.150366 0.490025
0.762376 0.294871 -0.088812 0.535708
0.772277 0.292307 -0.037483 0.539354
0.782178 0.244006 -0.030923 0.493001
0.792079 0.182853 -0.085678 0.418942
0.801980 0.158400 -0.183666 0.353082
0.811881 0.177653 -0.277147 0.317558
0.821782 0.191728 -0.316585 0.302493
0.831683 0.155948 -0.284979 0.273377
0.841584 0.086262 -0.212617 0.202624
0.851485 0.034656 -0.155785 0.101916
0.861386 0.023113 -0.150067 0.024358
0.871287 0.031327 -0.175263 0.024704
0.881188 0.039417 -0.169053 0.104105
0.891089 0.044848 -0.088874 0.192221
0.900990 0.040961 0.031053 0.199992
0.910891 0.021286 0.096359 0.109551
0.920792 0.002708 0.051478 0.007594
0.930693 0.001234 -0.034925 -0.003781
0.940594 0.003456 -0.027742 0.051834
0.950495 0.007988 0.085672 0.025468
0.960396 0.031841 0.122795 -0.129469
0.970297 0.036437 -0.018840 -0.189953
0.980198 0.003989 -0.061497 -0.014392
0.990099 0.010906 0.096171 -0.040709
