   Position (m)       Function
0.009901 0.016564 0.096019 -0.085701
0.019802 0.010173 0.084631 -0.054872
0.029703 0.049116 0.060059 -0.213329
0.039604 0.046307 0.108214 -0.186002
0.049505 0.019633 -0.068519 -0.122222
0.059406 0.093698 -0.217726 -0.215159
0.069307 0.098781 -0.207469 -0.236088
0.079208 0.072614 -0.238194 -0.126009
0.089109 0.132519 -0.355119 -0.080057
0.099010 0.180489 -0.400873 -0.140677
0.108911 0.143123 -0.345381 -0.154385
0.118812 0.115073 -0.334843 -0.054344
0.128713 0.207371 -0.451863 0.056495
0.138614 0.378852 -0.609059 0.088875
0.148515 0.486960 -0.692073 0.089415
0.158416 0.516738 -0.703208 0.149119
0.168317 0.596279 -0.724452 0.267297
0.178218 0.753304 -0.791601 0.355910
0.188119 0.856792 -0.855202 0.354149
0.198020 0.823647 -0.857316 0.297750
0.207921 0.729690 -0.810154 0.270813
0.217822 0.710463 -0.782954 0.312164
0.227723 0.824419 -0.823363 0.382743
0.237624 0.996059 -0.907062 0.416291
0.247525 1.082673 -0.965724 0.387362
0.257426 1.022097 -0.956583 0.327178
0.267327 0.892084 -0.901245 0.282562
0.277228 0.813362 -0.860908 0.268701
0.287129 0.840331 -0.878375 0.262274
0.297030 0.942954 -0.942349 0.234378
0.306931 1.037375 -1.001613 0.184784
0.316832 1.041019 -1.010173 0.143417
0.326733 0.944954 -0.961929 0.140170
0.336634 0.820615 -0.889023 0.173936
0.346535 0.735448 -0.831367 0.210421
0.356436 0.694094 -0.805947 0.211051
0.366337 0.666991 -0.799241 0.167945
0.376238 0.627799 -0.783909 0.115262
0.386139 0.562560 -0.742392 0.106835
0.396040 0.491485 -0.678469 0.176538
0.405941 0.469622 -0.610869 0.310581
0.415842 0.514965 -0.557693 0.451601
0.425743 0.558486 -0.525255 0.531595
0.435644 0.520004 -0.508444 0.511360
0.445545 0.410065 -0.499184 0.401098
0.455446 0.306894 -0.494018 0.250679
0.465347 0.258680 -0.494691 0.118155
0.475248 0.254367 -0.502913 0.038020
0.485149 0.265817 -0.515499 0.008826
0.495050 0.275610 -0.524957 0.005542
0.504950 0.275610 -0.524957 0.005542
0.514851 0.265817 -0.515499 0.008826
0.524752 0.254367 -0.502913 0.038020
0.534653 0.258680 -0.494691 0.118155
0.544554 0.306894 -0.494018 0.250679
0.554455 0.410065 -0.499184 0.401098
0.564356 0.520004 -0.508444 0.511360
0.574257 0.558486 -0.525255 0.531595
0.584158 0.514965 -0.557693 0.451601
0.594059 0.469622 -0.610869 0.310581
0.603960 0.491485 -0.678469 0.176538
0.613861 0.562560 -0.742392 0.106835
0.623762 0.627799 -0.783909 0.115262
0.633663 0.666991 -0.799241 0.167945
0.643564 0.694094 -0.805947 0.211051
0.653465 0.735448 -0.831367 0.210421
0.663366 0.820615 -0.889023 0.173936
0.673267 0.944954 -0.961929 0.140170
0.683168 1.041019 -1.010173 0.143417
0.693069 1.037375 -1.001613 0.184784
0.702970 0.942954 -0.942349 0.234378
0.712871 0.840331 -0.878375 0.262274
0.722772 0.813362 -0.860908 0.268701
0.732673 0.892084 -0.901245 0.282562
0.742574 1.022097 -0.956583 0.327178
0.752475 1.082673 -0.965724 0.387362
0.762376 0.996059 -0.907062 0.416291
0.772277 0.824419 -0.823363 0.382743
0.782178 0.710463 -0.782954 0.312164
0.792079 0.729690 -0.810154 0.270813
0.801980 0.823647 -0.857316 0.297750
0.811881 0.856792 -0.855202 0.354149
0.821782 0.753304 -0.791601 0.355910
0.831683 0.596279 -0.724452 0.267297
0.841584 0.516738 -0.703208 0.149119
0.851485 0.486960 -0.692073 0.089415
0.861386 0.378852 -0.609059 0.088875
0.871287 0.207371 -0.451863 0.056495
0.881188 0.115073 -0.334843 -0.054344
0.891089 0.143123 -0.345381 -0.154385
0.900990 0.180489 -0.400873 -0.140677
0.910891 0.132519 -0.355119 -0.080057
0.920792 0.072614 -0.238194 -0.126009
0.930693 0.098781 -0.207469 -0.236088
0.940594 0.093698 -0.217726 -0.215159
0.950495 0.019633 -0.068519 -0.122222
0.960396 0.046307 0.108214 -0.186002
0.970297 0.049116 0.060059 -0.213329
0.980198 0.010173 0.084631 -0.054872
0.990099 0.016564 0.096019 -0.085701
