   Position (m)       Function
0.009901 0.005622 -0.046455 0.058858
0.019802 0.007469 -0.080132 -0.032368
0.029703 0.007672 -0.015890 0.086136
0.039604 0.043720 -0.155029 0.140305
0.049505 0.026835 -0.159211 0.038561
0.059406 0.007551 -0.062222 0.060660
0.069307 0.027930 -0.104999 0.130020
0.079208 0.048624 -0.214724 0.050174
0.089109 0.057303 -0.216781 -0.101535
0.099010 0.044513 -0.153171 -0.145090
0.108911 0.034080 -0.166980 -0.078723
0.118812 0.069028 -0.261663 -0.023681
0.128713 0.100103 -0.315918 -0.017302
0.138614 0.071571 -0.266903 0.018278
0.148515 0.051707 -0.182166 0.136097
0.158416 0.100376 -0.157780 0.274739
0.168317 0.146557 -0.204396 0.323697
0.178218 0.123182 -0.254398 0.241793
0.188119 0.072650 -0.254383 0.089101
0.198020 0.051702 -0.222909 -0.044868
0.207921 0.063069 -0.218158 -0.124405
0.217822 0.103432 -0.266442 -0.180112
0.227723 0.176427 -0.332915 -0.256114
0.237624 0.257363 -0.359202 -0.358241
0.247525 0.309838 -0.323280 -0.453131
0.257426 0.327962 -0.262204 -0.509128
0.267327 0.340589 -0.240199 -0.531877
0.277228 0.400872 -0.294888 -0.560279
0.287129 0.563714 -0.408409 -0.630013
0.297030 0.822036 -0.523390 -0.740337
0.306931 1.071034 -0.585624 -0.853275
0.316832 1.187840 -0.578158 -0.923891
0.326733 1.148778 -0.524120 -0.934920
0.336634 1.038552 -0.462631 -0.908033
0.346535 0.959656 -0.420339 -0.884857
0.356436 0.959678 -0.399337 -0.894544
0.366337 1.019652 -0.385841 -0.933155
0.376238 1.074763 -0.368157 -0.969135
0.386139 1.060424 -0.348312 -0.969073
0.396040 0.969168 -0.339830 -0.923950
0.405941 0.861449 -0.356031 -0.857141
0.415842 0.814440 -0.399557 -0.809194
0.425743 0.869271 -0.461025 -0.810387
0.435644 1.016235 -0.526468 -0.859690
0.445545 1.197618 -0.586610 -0.923855
0.455446 1.326533 -0.640620 -0.957152
0.465347 1.343063 -0.692278 -0.929416
0.475248 1.266089 -0.742677 -0.845292
0.485149 1.170024 -0.785967 -0.743155
0.495050 1.113485 -0.811686 -0.674278
0.504950 1.113485 -0.811686 -0.674278
0.514851 1.170024 -0.785967 -0.743155
0.524752 1.266089 -0.742677 -0.845292
0.534653 1.343063 -0.692278 -0.929416
0.544554 1.326533 -0.640620 -0.957152
0.554455 1.197618 -0.586610 -0.923855
0.564356 1.016235 -0.526468 -0.859690
0.574257 0.869271 -0.461025 -0.810387
0.584158 0.814440 -0.399557 -0.809194
0.594059 0.861449 -0.356031 -0.857141
0.603960 0.969168 -0.339830 -0.923950
0.613861 1.060424 -0.348312 -0.969073
0.623762 1.074763 -0.368157 -0.969135
0.633663 1.019652 -0.385841 -0.933155
0.643564 0.959678 -0.399337 -0.894544
0.653465 0.959656 -0.420339 -0.884857
0.663366 1.038552 -0.462631 -0.908033
0.673267 1.148778 -0.524120 -0.934920
0.683168 1.187840 -0.578158 -0.923891
0.693069 1.071034 -0.585624 -0.853275
0.702970 0.822036 -0.523390 -0.740337
0.712871 0.563714 -0.408409 -0.630013
0.722772 0.400872 -0.294888 -0.560279
0.732673 0.340589 -0.240199 -0.531877
0.742574 0.327962 -0.262204 -0.509128
0.752475 0.309838 -0.323280 -0.453131
0.762376 0.257363 -0.359202 -0.358241
0.772277 0.176427 -0.332915 -0.256114
0.782178 0.103432 -0.266442 -0.180112
0.792079 0.063069 -0.218158 -0.124405
0.801980 0.051702 -0.222909 -0.044868
0.811881 0.072650 -0.254383 0.089101
0.821782 0.123182 -0.254398 0.241793
0.831683 0.146557 -0.204396 0.323697
0.841584 0.100376 -0.157780 0.274739
0.851485 0.051707 -0.182166 0.136097
0.861386 0.071571 -0.266903 0.018278
0.871287 0.100103 -0.315918 -0.017302
0.881188 0.069028 -0.261663 -0.023681
0.891089 0.034080 -0.166980 -0.078723
0.900990 0.044513 -0.153171 -0.145090
0.910891 0.057303 -0.216781 -0.101535
0.920792 0.048624 -0.214724 0.050174
0.930693 0.027930 -0.104999 0.130020
0.940594 0.007551 -0.062222 0.060660
0.950495 0.026835 -0.159211 0.038561
0.960396 0.043720 -0.155029 0.140305
0.970297 0.007672 -0.015890 0.086136
0.980198 0.007469 -0.080132 -0.032368
0.990099 0.005622 -0.046455 0.058858
