   Position (m)       Function
0.009901 0.016457 0.082136 -0.098542
0.019802 0.022162 0.138843 -0.053707
0.029703 0.063287 0.106894 -0.227730
0.039604 0.174370 0.259115 -0.327459
0.049505 0.143307 0.245076 -0.288522
0.059406 0.161643 0.121158 -0.383358
0.069307 0.268944 0.120475 -0.504410
0.079208 0.232063 0.153462 -0.456631
0.089109 0.114702 0.065663 -0.332251
0.099010 0.094713 -0.064130 -0.300999
0.108911 0.124489 -0.080925 -0.343423
0.118812 0.116425 0.007604 -0.341127
0.128713 0.085559 0.074104 -0.282962
0.138614 0.074783 0.060531 -0.266682
0.148515 0.119389 0.029578 -0.344259
0.158416 0.202529 0.050754 -0.447161
0.168317 0.232108 0.102106 -0.470832
0.178218 0.163823 0.103057 -0.391411
0.188119 0.078563 0.014774 -0.279901
0.198020 0.061886 -0.117473 -0.219286
0.207921 0.099424 -0.217042 -0.228728
0.217822 0.135812 -0.254010 -0.267004
0.227723 0.156105 -0.266123 -0.292034
0.237624 0.189380 -0.311073 -0.304325
0.247525 0.276672 -0.406011 -0.334405
0.257426 0.420532 -0.512322 -0.397565
0.267327 0.546828 -0.572981 -0.467462
0.277228 0.561064 -0.562437 -0.494700
0.287129 0.458295 -0.504956 -0.450904
0.297030 0.330829 -0.450994 -0.356978
0.306931 0.264480 -0.436998 -0.271132
0.316832 0.275411 -0.462612 -0.247792
0.326733 0.340015 -0.499460 -0.300924
0.336634 0.428153 -0.518750 -0.398812
0.346535 0.504499 -0.513163 -0.491083
0.356436 0.545011 -0.497747 -0.545215
0.366337 0.563691 -0.493617 -0.565715
0.376238 0.602566 -0.510699 -0.584596
0.386139 0.696119 -0.543389 -0.633125
0.396040 0.850132 -0.580315 -0.716496
0.405941 1.035686 -0.617708 -0.808779
0.415842 1.198240 -0.664176 -0.870121
0.425743 1.299887 -0.732822 -0.873418
0.435644 1.361343 -0.827449 -0.822600
0.445545 1.437660 -0.934443 -0.751317
0.455446 1.550966 -1.027601 -0.703564
0.465347 1.675408 -1.083271 -0.708471
0.475248 1.783520 -1.095284 -0.764116
0.485149 1.868482 -1.078934 -0.839276
0.495050 1.920144 -1.060763 -0.891586
0.504950 1.920144 -1.060763 -0.891586
0.514851 1.868482 -1.078934 -0.839276
0.524752 1.783520 -1.095284 -0.764116
0.534653 1.675408 -1.083271 -0.708471
0.544554 1.550966 -1.027601 -0.703564
0.554455 1.437660 -0.934443 -0.751317
0.564356 1.361343 -0.827449 -0.822600
0.574257 1.299887 -0.732822 -0.873418
0.584158 1.198240 -0.664176 -0.870121
0.594059 1.035686 -0.617708 -0.808779
0.603960 0.850132 -0.580315 -0.716496
0.613861 0.696119 -0.543389 -0.633125
0.623762 0.602566 -0.510699 -0.584596
0.633663 0.563691 -0.493617 -0.565715
0.643564 0.545011 -0.497747 -0.545215
0.653465 0.504499 -0.513163 -0.491083
0.663366 0.428153 -0.518750 -0.398812
0.673267 0.340015 -0.499460 -0.300924
0.683168 0.275411 -0.462612 -0.247792
0.693069 0.264480 -0.436998 -0.271132
0.702970 0.330829 -0.450994 -0.356978
0.712871 0.458295 -0.504956 -0.450904
0.722772 0.561064 -0.562437 -0.494700
0.732673 0.546828 -0.572981 -0.467462
0.742574 0.420532 -0.512322 -0.397565
0.752475 0.276672 -0.406011 -0.334405
0.762376 0.189380 -0.311073 -0.304325
0.772277 0.156105 -0.266123 -0.292034
0.782178 0.135812 -0.254010 -0.267004
0.792079 0.099424 -0.217042 -0.228728
0.801980 0.061886 -0.117473 -0.219286
0.811881 0.078563 0.014774 -0.279901
0.821782 0.163823 0.103057 -0.391411
0.831683 0.232108 0.102106 -0.470832
0.841584 0.202529 0.050754 -0.447161
0.851485 0.119389 0.029578 -0.344259
0.861386 0.074783 0.060531 -0.266682
0.871287 0.085559 0.074104 -0.282962
0.881188 0.116425 0.007604 -0.341127
0.891089 0.124489 -0.080925 -0.343423
0.900990 0.094713 -0.064130 -0.300999
0.910891 0.114702 0.065663 -0.332251
0.920792 0.232063 0.153462 -0.456631
0.930693 0.268944 0.120475 -0.504410
0.940594 0.161643 0.121158 -0.383358
0.950495 0.143307 0.245076 -0.288522
0.960396 0.174370 0.259115 -0.327459
0.970297 0.063287 0.106894 -0.227730
0.980198 0.022162 0.138843 -0.053707
0.990099 0.016457 0.082136 -0.098542
