   Position (m)       Function
0.009901 0.021369 -0.137962 0.048322
0.019802 0.035758 -0.185368 -0.037375
0.029703 0.052964 -0.223655 0.054243
0.039604 0.138001 -0.368825 -0.044377
0.049505 0.134765 -0.308788 -0.198531
0.059406 0.105695 -0.270408 -0.180483
0.069307 0.195797 -0.398652 -0.192024
0.079208 0.337719 -0.494173 -0.305798
0.089109 0.347357 -0.485585 -0.334012
0.099010 0.321659 -0.522075 -0.221579
0.108911 0.444864 -0.655104 -0.125310
0.118812 0.586723 -0.752949 -0.140678
0.128713 0.554967 -0.721477 -0.185573
0.138614 0.426283 -0.632344 -0.162554
0.148515 0.372275 -0.601998 -0.099363
0.158416 0.415751 -0.639261 -0.084243
0.168317 0.454067 -0.661139 -0.130240
0.178218 0.406392 -0.617158 -0.159714
0.188119 0.311830 -0.547805 -0.108352
0.198020 0.272844 -0.522323 -0.004721
0.207921 0.308962 -0.552233 0.063255
0.217822 0.342727 -0.583900 0.042275
0.227723 0.321921 -0.566035 -0.039057
0.237624 0.269841 -0.507861 -0.109172
0.247525 0.234140 -0.467308 -0.125553
0.257426 0.250675 -0.489409 -0.105610
0.267327 0.324811 -0.561742 -0.096208
0.277228 0.409640 -0.628166 -0.122668
0.287129 0.440586 -0.642060 -0.168360
0.297030 0.407206 -0.606824 -0.197409
0.306931 0.360772 -0.569445 -0.191061
0.316832 0.359746 -0.577744 -0.161116
0.326733 0.427997 -0.640935 -0.131147
0.336634 0.537387 -0.725130 -0.107575
0.346535 0.618501 -0.783343 -0.069820
0.356436 0.628632 -0.792786 0.011053
0.366337 0.613893 -0.770515 0.142122
0.376238 0.661724 -0.758556 0.293798
0.386139 0.800113 -0.792821 0.414183
0.396040 0.986887 -0.879134 0.462612
0.405941 1.173276 -0.990946 0.437382
0.415842 1.322948 -1.086558 0.377278
0.425743 1.394049 -1.131899 0.335936
0.435644 1.363298 -1.114752 0.347315
0.445545 1.256922 -1.045064 0.405909
0.455446 1.118760 -0.945465 0.474189
0.465347 0.966630 -0.840151 0.510662
0.475248 0.808092 -0.748052 0.498509
0.485149 0.671562 -0.681267 0.455453
0.495050 0.593557 -0.646435 0.419140
0.504950 0.593557 -0.646435 0.419140
0.514851 0.671562 -0.681267 0.455453
0.524752 0.808092 -0.748052 0.498509
0.534653 0.966630 -0.840151 0.510662
0.544554 1.118760 -0.945465 0.474189
0.554455 1.256922 -1.045064 0.405909
0.564356 1.363298 -1.114752 0.347315
0.574257 1.394049 -1.131899 0.335936
0.584158 1.322948 -1.086558 0.377278
0.594059 1.173276 -0.990946 0.437382
0.603960 0.986887 -0.879134 0.462612
0.613861 0.800113 -0.792821 0.414183
0.623762 0.661724 -0.758556 0.293798
0.633663 0.613893 -0.770515 0.142122
0.643564 0.628632 -0.792786 0.011053
0.653465 0.618501 -0.783343 -0.069820
0.663366 0.537387 -0.725130 -0.107575
0.673267 0.427997 -0.640935 -0.131147
0.683168 0.359746 -0.577744 -0.161116
0.693069 0.360772 -0.569445 -0.191061
0.702970 0.407206 -0.606824 -0.197409
0.712871 0.440586 -0.642060 -0.168360
0.722772 0.409640 -0.628166 -0.122668
0.732673 0.324811 -0.561742 -0.096208
0.742574 0.250675 -0.489409 -0.105610
0.752475 0.234140 -0.467308 -0.125553
0.762376 0.269841 -0.507861 -0.109172
0.772277 0.321921 -0.566035 -0.039057
0.782178 0.342727 -0.583900 0.042275
0.792079 0.308962 -0.552233 0.063255
0.801980 0.272844 -0.522323 -0.004721
0.811881 0.311830 -0.547805 -0.108352
0.821782 0.406392 -0.617158 -0.159714
0.831683 0.454067 -0.661139 -0.130240
0.841584 0.415751 -0.639261 -0.084243
0.851485 0.372275 -0.601998 -0.099363
0.861386 0.426283 -0.632344 -0.162554
0.871287 0.554967 -0.721477 -0.185573
0.881188 0.586723 -0.752949 -0.140678
0.891089 0.444864 -0.655104 -0.125310
0.900990 0.321659 -0.522075 -0.221579
0.910891 0.347357 -0.485585 -0.334012
0.920792 0.337719 -0.494173 -0.305798
0.930693 0.195797 -0.398652 -0.192024
0.940594 0.105695 -0.270408 -0.180483
0.950495 0.134765 -0.308788 -0.198531
0.960396 0.138001 -0.368825 -0.044377
0.970297 0.052964 -0.223655 0.054243
0.980198 0.035758 -0.185368 -0.037375
0.990099 0.021369 -0.137962 0.048322
