   Position (m)       Function
0.009901 0.018780 0.028322 -0.134080
0.019802 0.017003 -0.026761 -0.127620
0.029703 0.093057 -0.087422 -0.292258
0.039604 0.069047 -0.027616 -0.261314
0.049505 0.053131 -0.164509 -0.161456
0.059406 0.131124 -0.281200 -0.228145
0.069307 0.123203 -0.229400 -0.265667
0.079208 0.080790 -0.207435 -0.194321
0.089109 0.125332 -0.293953 -0.197292
0.099010 0.227268 -0.340755 -0.333398
0.108911 0.281283 -0.286636 -0.446232
0.118812 0.252559 -0.255121 -0.432980
0.128713 0.254006 -0.341467 -0.370683
0.138614 0.359305 -0.478219 -0.361402
0.148515 0.449925 -0.548393 -0.386251
0.158416 0.421563 -0.539716 -0.360929
0.168317 0.360065 -0.535581 -0.270588
0.178218 0.387044 -0.591809 -0.191850
0.188119 0.489027 -0.672157 -0.192955
0.198020 0.560590 -0.705326 -0.251208
0.207921 0.532480 -0.673445 -0.280983
0.217822 0.443601 -0.626317 -0.226555
0.227723 0.395026 -0.618189 -0.113439
0.237624 0.419390 -0.647461 -0.013586
0.247525 0.440127 -0.662869 0.027057
0.257426 0.386967 -0.621614 0.023709
0.267327 0.287108 -0.535207 0.025716
0.277228 0.215316 -0.459500 0.064625
0.287129 0.213587 -0.443675 0.129380
0.297030 0.273120 -0.488665 0.185273
0.306931 0.347667 -0.550815 0.210404
0.316832 0.385164 -0.583040 0.212670
0.326733 0.376773 -0.575043 0.214706
0.336634 0.364122 -0.559616 0.225725
0.346535 0.392652 -0.583255 0.229054
0.356436 0.484275 -0.667399 0.197115
0.366337 0.639376 -0.790569 0.119898
0.376238 0.815097 -0.902576 0.021292
0.386139 0.919846 -0.957693 -0.051667
0.396040 0.891841 -0.942521 -0.059126
0.405941 0.776920 -0.881419 0.004594
0.415842 0.683256 -0.819574 0.107491
0.425743 0.676777 -0.797453 0.202101
0.435644 0.759343 -0.832607 0.257115
0.445545 0.916697 -0.916803 0.275988
0.455446 1.136613 -1.025859 0.290219
0.465347 1.395711 -1.133464 0.333124
0.475248 1.661415 -1.220943 0.413175
0.485149 1.893569 -1.279815 0.505612
0.495050 2.035313 -1.308756 0.567865
0.504950 2.035313 -1.308756 0.567865
0.514851 1.893569 -1.279815 0.505612
0.524752 1.661415 -1.220943 0.413175
0.534653 1.395711 -1.133464 0.333124
0.544554 1.136613 -1.025859 0.290219
0.554455 0.916697 -0.916803 0.275988
0.564356 0.759343 -0.832607 0.257115
0.574257 0.676777 -0.797453 0.202101
0.584158 0.683256 -0.819574 0.107491
0.594059 0.776920 -0.881419 0.004594
0.603960 0.891841 -0.942521 -0.059126
0.613861 0.919846 -0.957693 -0.051667
0.623762 0.815097 -0.902576 0.021292
0.633663 0.639376 -0.790569 0.119898
0.643564 0.484275 -0.667399 0.197115
0.653465 0.392652 -0.583255 0.229054
0.663366 0.364122 -0.559616 0.225725
0.673267 0.376773 -0.575043 0.214706
0.683168 0.385164 -0.583040 0.212670
0.693069 0.347667 -0.550815 0.210404
0.702970 0.273120 -0.488665 0.185273
0.712871 0.213587 -0.443675 0.129380
0.722772 0.215316 -0.459500 0.064625
0.732673 0.287108 -0.535207 0.025716
0.742574 0.386967 -0.621614 0.023709
0.752475 0.440127 -0.662869 0.027057
0.762376 0.419390 -0.647461 -0.013586
0.772277 0.395026 -0.618189 -0.113439
0.782178 0.443601 -0.626317 -0.226555
0.792079 0.532480 -0.673445 -0.280983
0.801980 0.560590 -0.705326 -0.251208
0.811881 0.489027 -0.672157 -0.192955
0.821782 0.387044 -0.591809 -0.191850
0.831683 0.360065 -0.535581 -0.270588
0.841584 0.421563 -0.539716 -0.360929
0.851485 0.449925 -0.548393 -0.386251
0.861386 0.359305 -0.478219 -0.361402
0.871287 0.254006 -0.341467 -0.370683
0.881188 0.252559 -0.255121 -0.432980
0.891089 0.281283 -0.286636 -0.446232
0.900990 0.227268 -0.340755 -0.333398
0.910891 0.125332 -0.293953 -0.197292
0.920792 0.080790 -0.207435 -0.194321
0.930693 0.123203 -0.229400 -0.265667
0.940594 0.131124 -0.281200 -0.228145
0.950495 0.053131 -0.164509 -0.161456
0.960396 0.069047 -0.027616 -0.261314
0.970297 0.093057 -0.087422 -0.292258
0.980198 0.017003 -0.026761 -0.127620
0.990099 0.018780 0.028322 -0.134080
