   Position (m)       Function
0.009901 0.004325 -0.032332 0.057271
0.019802 0.083219 -0.278660 0.074618
0.029703 0.058976 -0.237626 -0.050097
0.039604 0.028482 -0.163518 0.041766
0.049505 0.067842 -0.245568 0.086823
0.059406 0.078529 -0.276989 -0.042500
0.069307 0.051466 -0.150035 -0.170163
0.079208 0.026552 -0.000495 -0.162947
0.089109 0.008847 0.031573 -0.088601
0.099010 0.005751 -0.031143 -0.069149
0.108911 0.019844 -0.075686 -0.118807
0.118812 0.025612 -0.046702 -0.153070
0.128713 0.010957 0.010481 -0.104147
0.138614 0.000565 0.022623 0.007304
0.148515 0.011498 -0.027483 0.103646
0.158416 0.024882 -0.088855 0.130333
0.168317 0.019562 -0.096300 0.101431
0.178218 0.007029 -0.028479 0.078852
0.188119 0.019955 0.080147 0.116324
0.198020 0.078635 0.174327 0.219647
0.207921 0.172489 0.223566 0.350010
0.217822 0.268642 0.241413 0.458653
0.227723 0.343691 0.268639 0.521080
0.237624 0.413324 0.338423 0.546621
0.247525 0.519152 0.450913 0.561987
0.257426 0.672019 0.573261 0.585996
0.267327 0.816317 0.661558 0.615352
0.277228 0.869806 0.687668 0.630015
0.287129 0.801647 0.653746 0.611770
0.297030 0.660543 0.587639 0.561447
0.306931 0.528192 0.524802 0.502766
0.316832 0.460731 0.489136 0.470613
0.326733 0.475354 0.483490 0.491520
0.336634 0.566191 0.493193 0.568289
0.346535 0.707248 0.498179 0.677544
0.356436 0.845881 0.485460 0.781159
0.366337 0.921217 0.455165 0.845010
0.376238 0.906144 0.418197 0.855134
0.386139 0.829002 0.388531 0.823435
0.396040 0.750677 0.375442 0.780846
0.405941 0.725092 0.379971 0.762046
0.415842 0.780581 0.396704 0.789435
0.425743 0.921381 0.418742 0.863734
0.435644 1.126697 0.442267 0.964934
0.445545 1.347551 0.467950 1.062344
0.455446 1.522474 0.498746 1.128595
0.465347 1.612315 0.535910 1.151137
0.475248 1.623112 0.576033 1.136353
0.485149 1.594443 0.611123 1.104976
0.495050 1.568391 0.631803 1.081303
0.504950 1.568391 0.631803 1.081303
0.514851 1.594443 0.611123 1.104976
0.524752 1.623112 0.576033 1.136353
0.534653 1.612315 0.535910 1.151137
0.544554 1.522474 0.498746 1.128595
0.554455 1.347551 0.467950 1.062344
0.564356 1.126697 0.442267 0.964934
0.574257 0.921381 0.418742 0.863734
0.584158 0.780581 0.396704 0.789435
0.594059 0.725092 0.379971 0.762046
0.603960 0.750677 0.375442 0.780846
0.613861 0.829002 0.388531 0.823435
0.623762 0.906144 0.418197 0.855134
0.633663 0.921217 0.455165 0.845010
0.643564 0.845881 0.485460 0.781159
0.653465 0.707248 0.498179 0.677544
0.663366 0.566191 0.493193 0.568289
0.673267 0.475354 0.483490 0.491520
0.683168 0.460731 0.489136 0.470613
0.693069 0.528192 0.524802 0.502766
0.702970 0.660543 0.587639 0.561447
0.712871 0.801647 0.653746 0.611770
0.722772 0.869806 0.687668 0.630015
0.732673 0.816317 0.661558 0.615352
0.742574 0.672019 0.573261 0.585996
0.752475 0.519152 0.450913 0.561987
0.762376 0.413324 0.338423 0.546621
0.772277 0.343691 0.268639 0.521080
0.782178 0.268642 0.241413 0.458653
0.792079 0.172489 0.223566 0.350010
0.801980 0.078635 0.174327 0.219647
0.811881 0.019955 0.080147 0.116324
0.821782 0.007029 -0.028479 0.078852
0.831683 0.019562 -0.096300 0.101431
0.841584 0.024882 -0.088855 0.130333
0.851485 0.011498 -0.027483 0.103646
0.861386 0.000565 0.022623 0.007304
0.871287 0.010957 0.010481 -0.104147
0.881188 0.025612 -0.046702 -0.153070
0.891089 0.019844 -0.075686 -0.118807
0.900990 0.005751 -0.031143 -0.069149
0.910891 0.008847 0.031573 -0.088601
0.920792 0.026552 -0.000495 -0.162947
0.930693 0.051466 -0.150035 -0.170163
0.940594 0.078529 -0.276989 -0.042500
0.950495 0.067842 -0.245568 0.086823
0.960396 0.028482 -0.163518 0.041766
0.970297 0.058976 -0.237626 -0.050097
0.980198 0.083219 -0.278660 0.074618
0.990099 0.004325 -0.032332 0.057271
