   Position (m)       Function
0.009901 0.004040 -0.054471 0.032759
0.019802 0.097362 -0.050138 -0.307975
0.029703 0.156296 0.145030 -0.367780
0.039604 0.111540 0.180182 -0.281201
0.049505 0.080947 0.085835 -0.271256
0.059406 0.139708 0.021910 -0.373133
0.069307 0.241848 0.065050 -0.487460
0.079208 0.300984 0.171208 -0.521221
0.089109 0.277579 0.249022 -0.464292
0.099010 0.199226 0.240558 -0.375975
0.108911 0.130189 0.151694 -0.327381
0.118812 0.125752 0.031590 -0.353205
0.128713 0.197687 -0.068333 -0.439337
0.138614 0.309604 -0.124978 -0.542203
0.148515 0.406109 -0.149415 -0.619503
0.158416 0.455299 -0.171819 -0.652516
0.168317 0.471292 -0.219158 -0.650586
0.178218 0.499219 -0.299156 -0.640097
0.188119 0.576718 -0.397340 -0.647178
0.198020 0.703971 -0.486012 -0.683932
0.207921 0.843622 -0.538675 -0.743943
0.217822 0.945783 -0.542375 -0.807225
0.227723 0.976419 -0.502859 -0.850618
0.237624 0.931221 -0.441440 -0.858109
0.247525 0.832493 -0.386037 -0.826721
0.257426 0.717279 -0.360692 -0.766277
0.267327 0.624411 -0.377659 -0.694107
0.277228 0.582688 -0.434534 -0.627589
0.287129 0.600692 -0.516648 -0.577726
0.297030 0.661945 -0.603097 -0.546094
0.306931 0.730594 -0.673858 -0.525841
0.316832 0.767888 -0.715540 -0.505856
0.326733 0.751225 -0.724200 -0.476192
0.336634 0.684043 -0.704897 -0.432625
0.346535 0.590626 -0.668707 -0.378757
0.356436 0.500819 -0.628586 -0.325114
0.366337 0.436264 -0.595515 -0.285703
0.376238 0.406491 -0.576008 -0.273324
0.386139 0.413659 -0.571409 -0.295213
0.396040 0.457776 -0.578794 -0.350390
0.405941 0.535905 -0.592846 -0.429463
0.415842 0.636776 -0.607929 -0.516912
0.425743 0.738181 -0.619708 -0.595099
0.435644 0.812848 -0.625960 -0.648862
0.445545 0.840655 -0.626558 -0.669388
0.455446 0.818756 -0.622870 -0.656345
0.465347 0.762225 -0.616935 -0.617751
0.475248 0.695233 -0.610752 -0.567640
0.485149 0.639763 -0.605853 -0.522211
0.495050 0.609320 -0.603188 -0.495463
0.504950 0.609320 -0.603188 -0.495463
0.514851 0.639763 -0.605853 -0.522211
0.524752 0.695233 -0.610752 -0.567640
0.534653 0.762225 -0.616935 -0.617751
0.544554 0.818756 -0.622870 -0.656345
0.554455 0.840655 -0.626558 -0.669388
0.564356 0.812848 -0.625960 -0.648862
0.574257 0.738181 -0.619708 -0.595099
0.584158 0.636776 -0.607929 -0.516912
0.594059 0.535905 -0.592846 -0.429463
0.603960 0.457776 -0.578794 -0.350390
0.613861 0.413659 -0.571409 -0.295213
0.623762 0.406491 -0.576008 -0.273324
0.633663 0.436264 -0.595515 -0.285703
0.643564 0.500819 -0.628586 -0.325114
0.653465 0.590626 -0.668707 -0.378757
0.663366 0.684043 -0.704897 -0.432625
0.673267 0.751225 -0.724200 -0.476192
0.683168 0.767888 -0.715540 -0.505856
0.693069 0.730594 -0.673858 -0.525841
0.702970 0.661945 -0.603097 -0.546094
0.712871 0.600692 -0.516648 -0.577726
0.722772 0.582688 -0.434534 -0.627589
0.732673 0.624411 -0.377659 -0.694107
0.742574 0.717279 -0.360692 -0.766277
0.752475 0.832493 -0.386037 -0.826721
0.762376 0.931221 -0.441440 -0.858109
0.772277 0.976419 -0.502859 -0.850618
0.782178 0.945783 -0.542375 -0.807225
0.792079 0.843622 -0.538675 -0.743943
0.801980 0.703971 -0.486012 -0.683932
0.811881 0.576718 -0.397340 -0.647178
0.821782 0.499219 -0.299156 -0.640097
0.831683 0.471292 -0.219158 -0.650586
0.841584 0.455299 -0.171819 -0.652516
0.851485 0.406109 -0.149415 -0.619503
0.861386 0.309604 -0.124978 -0.542203
0.871287 0.197687 -0.068333 -0.439337
0.881188 0.125752 0.031590 -0.353205
0.891089 0.130189 0.151694 -0.327381
0.900990 0.199226 0.240558 -0.375975
0.910891 0.277579 0.249022 -0.464292
0.920792 0.300984 0.171208 -0.521221
0.930693 0.241848 0.065050 -0.487460
0.940594 0.139708 0.021910 -0.373133
0.950495 0.080947 0.085835 -0.271256
0.960396 0.111540 0.180182 -0.281201
0.970297 0.156296 0.145030 -0.367780
0.980198 0.097362 -0.050138 -0.307975
0.990099 0.004040 -0.054471 0.032759
