   Position (m)       Function
0.009901 0.009111 0.008557 -0.095069
0.019802 0.001783 0.021201 -0.036514
0.029703 0.045498 -0.112956 -0.180940
0.039604 0.100596 -0.043200 -0.314213
0.049505 0.088377 -0.077413 -0.287026
0.059406 0.201158 -0.236618 -0.381013
0.069307 0.404332 -0.265375 -0.577848
0.079208 0.467862 -0.178938 -0.660184
0.089109 0.426930 -0.165431 -0.632110
0.099010 0.484177 -0.244555 -0.651437
0.108911 0.639945 -0.289151 -0.745880
0.118812 0.699895 -0.257366 -0.796027
0.128713 0.594101 -0.244579 -0.730946
0.138614 0.492925 -0.330887 -0.619225
0.148515 0.541606 -0.469554 -0.566679
0.158416 0.648186 -0.545847 -0.591808
0.168317 0.649486 -0.503855 -0.628980
0.178218 0.542339 -0.388806 -0.625435
0.188119 0.442642 -0.280447 -0.603317
0.198020 0.435850 -0.211197 -0.625497
0.207921 0.539607 -0.154202 -0.718212
0.217822 0.707334 -0.075737 -0.837614
0.227723 0.825587 0.015996 -0.908478
0.237624 0.797757 0.075685 -0.889960
0.247525 0.654231 0.067610 -0.806015
0.257426 0.517777 0.003783 -0.719557
0.267327 0.467163 -0.062546 -0.680626
0.277228 0.488460 -0.079783 -0.694330
0.287129 0.533558 -0.038387 -0.729441
0.297030 0.566301 0.024006 -0.752147
0.306931 0.570128 0.053750 -0.753153
0.316832 0.560520 0.021550 -0.748369
0.326733 0.578609 -0.058640 -0.758400
0.336634 0.641318 -0.143329 -0.787893
0.346535 0.712729 -0.192207 -0.822062
0.356436 0.745260 -0.194846 -0.841009
0.366337 0.732171 -0.173890 -0.837815
0.376238 0.707609 -0.165517 -0.824750
0.386139 0.714104 -0.192917 -0.822731
0.396040 0.773265 -0.251025 -0.842764
0.405941 0.860853 -0.311166 -0.874087
0.415842 0.905351 -0.340653 -0.888429
0.425743 0.840744 -0.323799 -0.857845
0.435644 0.672649 -0.271514 -0.773905
0.445545 0.475315 -0.214790 -0.655118
0.455446 0.323898 -0.187034 -0.537509
0.465347 0.248907 -0.205785 -0.454489
0.475248 0.245047 -0.263642 -0.418976
0.485149 0.286116 -0.332520 -0.418983
0.495050 0.327134 -0.378333 -0.428951
0.504950 0.327134 -0.378333 -0.428951
0.514851 0.286116 -0.332520 -0.418983
0.524752 0.245047 -0.263642 -0.418976
0.534653 0.248907 -0.205785 -0.454489
0.544554 0.323898 -0.187034 -0.537509
0.554455 0.475315 -0.214790 -0.655118
0.564356 0.672649 -0.271514 -0.773905
0.574257 0.840744 -0.323799 -0.857845
0.584158 0.905351 -0.340653 -0.888429
0.594059 0.860853 -0.311166 -0.874087
0.603960 0.773265 -0.251025 -0.842764
0.613861 0.714104 -0.192917 -0.822731
0.623762 0.707609 -0.165517 -0.824750
0.633663 0.732171 -0.173890 -0.837815
0.643564 0.745260 -0.194846 -0.841009
0.653465 0.712729 -0.192207 -0.822062
0.663366 0.641318 -0.143329 -0.787893
0.673267 0.578609 -0.058640 -0.758400
0.683168 0.560520 0.021550 -0.748369
0.693069 0.570128 0.053750 -0.753153
0.702970 0.566301 0.024006 -0.752147
0.712871 0.533558 -0.038387 -0.729441
0.722772 0.488460 -0.079783 -0.694330
0.732673 0.467163 -0.062546 -0.680626
0.742574 0.517777 0.003783 -0.719557
0.752475 0.654231 0.067610 -0.806015
0.762376 0.797757 0.075685 -0.889960
0.772277 0.825587 0.015996 -0.908478
0.782178 0.707334 -0.075737 -0.837614
0.792079 0.539607 -0.154202 -0.718212
0.801980 0.435850 -0.211197 -0.625497
0.811881 0.442642 -0.280447 -0.603317
0.821782 0.542339 -0.388806 -0.625435
0.831683 0.649486 -0.503855 -0.628980
0.841584 0.648186 -0.545847 -0.591808
0.851485 0.541606 -0.469554 -0.566679
0.861386 0.492925 -0.330887 -0.619225
0.871287 0.594101 -0.244579 -0.730946
0.881188 0.699895 -0.257366 -0.796027
0.891089 0.639945 -0.289151 -0.745880
0.900990 0.484177 -0.244555 -0.651437
0.910891 0.426930 -0.165431 -0.632110
0.920792 0.467862 -0.178938 -0.660184
0.930693 0.404332 -0.265375 -0.577848
0.940594 0.201158 -0.236618 -0.381013
0.950495 0.088377 -0.077413 -0.287026
0.960396 0.100596 -0.043200 -0.314213
0.970297 0.045498 -0.112956 -0.180940
0.980198 0.001783 0.021201 -0.036514
0.990099 0.009111 0.008557 -0.095069
