   Position (m)       Function
0.009901 0.006025 0.069607 0.034343
0.019802 0.003851 -0.060393 -0.014276
0.029703 0.014238 0.074433 -0.093259
0.039604 0.016143 0.115318 0.053334
0.049505 0.009326 -0.005274 0.096425
0.059406 0.000325 -0.017254 0.005232
0.069307 0.012319 0.110439 -0.011038
0.079208 0.048389 0.203257 0.084116
0.089109 0.059209 0.195367 0.145054
0.099010 0.042859 0.187662 0.087417
0.108911 0.074074 0.271712 -0.015682
0.118812 0.171722 0.411306 -0.050485
0.128713 0.250999 0.500970 0.005216
0.138614 0.245644 0.489078 0.080292
0.148515 0.188351 0.421512 0.103335
0.158416 0.151706 0.382745 0.072195
0.168317 0.173479 0.414694 0.038834
0.178218 0.243949 0.491919 0.044318
0.188119 0.320521 0.561076 0.075598
0.198020 0.360686 0.595245 0.079812
0.207921 0.376479 0.613403 0.014718
0.217822 0.442655 0.655779 -0.112289
0.227723 0.614038 0.743825 -0.246499
0.237624 0.843956 0.860122 -0.322718
0.247525 1.018031 0.961548 -0.305707
0.257426 1.065581 1.011433 -0.206359
0.267327 1.013651 1.004545 -0.067386
0.277228 0.940963 0.967755 0.066431
0.287129 0.910471 0.938619 0.171657
0.297030 0.944152 0.938859 0.250390
0.306931 1.024156 0.960922 0.317466
0.316832 1.097599 0.975033 0.383288
0.326733 1.101065 0.950325 0.444913
0.336634 1.006791 0.875665 0.489900
0.346535 0.847201 0.767568 0.507977
0.356436 0.688625 0.661510 0.501029
0.366337 0.585930 0.592818 0.484249
0.376238 0.563025 0.578472 0.477907
0.386139 0.616914 0.609496 0.495408
0.396040 0.718301 0.657038 0.535353
0.405941 0.812406 0.687926 0.582379
0.415842 0.843512 0.681153 0.616071
0.425743 0.793545 0.637218 0.622493
0.435644 0.694363 0.576495 0.601678
0.445545 0.600658 0.528308 0.567053
0.455446 0.555705 0.516495 0.537530
0.465347 0.578313 0.548241 0.527016
0.475248 0.661944 0.610940 0.537304
0.485149 0.771216 0.678010 0.558138
0.495050 0.848999 0.720713 0.574084
0.504950 0.848999 0.720713 0.574084
0.514851 0.771216 0.678010 0.558138
0.524752 0.661944 0.610940 0.537304
0.534653 0.578313 0.548241 0.527016
0.544554 0.555705 0.516495 0.537530
0.554455 0.600658 0.528308 0.567053
0.564356 0.694363 0.576495 0.601678
0.574257 0.793545 0.637218 0.622493
0.584158 0.843512 0.681153 0.616071
0.594059 0.812406 0.687926 0.582379
0.603960 0.718301 0.657038 0.535353
0.613861 0.616914 0.609496 0.495408
0.623762 0.563025 0.578472 0.477907
0.633663 0.585930 0.592818 0.484249
0.643564 0.688625 0.661510 0.501029
0.653465 0.847201 0.767568 0.507977
0.663366 1.006791 0.875665 0.489900
0.673267 1.101065 0.950325 0.444913
0.683168 1.097599 0.975033 0.383288
0.693069 1.024156 0.960922 0.317466
0.702970 0.944152 0.938859 0.250390
0.712871 0.910471 0.938619 0.171657
0.722772 0.940963 0.967755 0.066431
0.732673 1.013651 1.004545 -0.067386
0.742574 1.065581 1.011433 -0.206359
0.752475 1.018031 0.961548 -0.305707
0.762376 0.843956 0.860122 -0.322718
0.772277 0.614038 0.743825 -0.246499
0.782178 0.442655 0.655779 -0.112289
0.792079 0.376479 0.613403 0.014718
0.801980 0.360686 0.595245 0.079812
0.811881 0.320521 0.561076 0.075598
0.821782 0.243949 0.491919 0.044318
0.831683 0.173479 0.414694 0.038834
0.841584 0.151706 0.382745 0.072195
0.851485 0.188351 0.421512 0.103335
0.861386 0.245644 0.489078 0.080292
0.871287 0.250999 0.500970 0.005216
0.881188 0.171722 0.411306 -0.050485
0.891089 0.074074 0.271712 -0.015682
0.900990 0.042859 0.187662 0.087417
0.910891 0.059209 0.195367 0.145054
0.920792 0.048389 0.203257 0.084116
0.930693 0.012319 0.110439 -0.011038
0.940594 0.000325 -0.017254 0.005232
0.950495 0.009326 -0.005274 0.096425
0.960396 0.016143 0.115318 0.053334
0.970297 0.014238 0.074433 -0.093259
0.980198 0.003851 -0.060393 -0.014276
0.990099 0.006025 0.069607 0.034343
