   Position (m)       Function
0.009901 0.014274 -0.023739 -0.117091
0.019802 0.032464 -0.129318 0.125461
0.029703 0.154440 -0.385553 0.076084
0.039604 0.206415 -0.445839 -0.087422
0.049505 0.160776 -0.375589 -0.140388
0.059406 0.126481 -0.347395 -0.076141
0.069307 0.179289 -0.423215 -0.013353
0.079208 0.295756 -0.542466 -0.038558
0.089109 0.400023 -0.616386 -0.141744
0.099010 0.433317 -0.608580 -0.250893
0.108911 0.392526 -0.549716 -0.300564
0.118812 0.326684 -0.500715 -0.275623
0.128713 0.300125 -0.505803 -0.210446
0.138614 0.347357 -0.567759 -0.158136
0.148515 0.451889 -0.653717 -0.156665
0.158416 0.563339 -0.720044 -0.211837
0.168317 0.635498 -0.737878 -0.301718
0.178218 0.653769 -0.705761 -0.394552
0.188119 0.635795 -0.645944 -0.467495
0.198020 0.614546 -0.589794 -0.516419
0.207921 0.622087 -0.561559 -0.553840
0.217822 0.681099 -0.568339 -0.598406
0.227723 0.798516 -0.599538 -0.662624
0.237624 0.957214 -0.634202 -0.744985
0.247525 1.112795 -0.651617 -0.829573
0.257426 1.206284 -0.640136 -0.892474
0.267327 1.192057 -0.600933 -0.911557
0.277228 1.064348 -0.546053 -0.875314
0.287129 0.862573 -0.492498 -0.787413
0.297030 0.650401 -0.455320 -0.665646
0.306931 0.483271 -0.442488 -0.536168
0.316832 0.386367 -0.453197 -0.425417
0.326733 0.354418 -0.479667 -0.352615
0.336634 0.367033 -0.511195 -0.325134
0.346535 0.404225 -0.538606 -0.337830
0.356436 0.452062 -0.557362 -0.376045
0.366337 0.500246 -0.568368 -0.420955
0.376238 0.539686 -0.576459 -0.455391
0.386139 0.564502 -0.587422 -0.468442
0.396040 0.575347 -0.604855 -0.457708
0.405941 0.578453 -0.628088 -0.428904
0.415842 0.579647 -0.651918 -0.393257
0.425743 0.578799 -0.668225 -0.363695
0.435644 0.570543 -0.668853 -0.350968
0.445545 0.550959 -0.648725 -0.360714
0.455446 0.523567 -0.608111 -0.392132
0.465347 0.498311 -0.553264 -0.438417
0.475248 0.484013 -0.495155 -0.488707
0.485149 0.481431 -0.446677 -0.530953
0.495050 0.483679 -0.419146 -0.554974
0.504950 0.483679 -0.419146 -0.554974
0.514851 0.481431 -0.446677 -0.530953
0.524752 0.484013 -0.495155 -0.488707
0.534653 0.498311 -0.553264 -0.438417
0.544554 0.523567 -0.608111 -0.392132
0.554455 0.550959 -0.648725 -0.360714
0.564356 0.570543 -0.668853 -0.350968
0.574257 0.578799 -0.668225 -0.363695
0.584158 0.579647 -0.651918 -0.393257
0.594059 0.578453 -0.628088 -0.428904
0.603960 0.575347 -0.604855 -0.457708
0.613861 0.564502 -0.587422 -0.468442
0.623762 0.539686 -0.576459 -0.455391
0.633663 0.500246 -0.568368 -0.420955
0.643564 0.452062 -0.557362 -0.376045
0.653465 0.404225 -0.538606 -0.337830
0.663366 0.367033 -0.511195 -0.325134
0.673267 0.354418 -0.479667 -0.352615
0.683168 0.386367 -0.453197 -0.425417
0.693069 0.483271 -0.442488 -0.536168
0.702970 0.650401 -0.455320 -0.665646
0.712871 0.862573 -0.492498 -0.787413
0.722772 1.064348 -0.546053 -0.875314
0.732673 1.192057 -0.600933 -0.911557
0.742574 1.206284 -0.640136 -0.892474
0.752475 1.112795 -0.651617 -0.829573
0.762376 0.957214 -0.634202 -0.744985
0.772277 0.798516 -0.599538 -0.662624
0.782178 0.681099 -0.568339 -0.598406
0.792079 0.622087 -0.561559 -0.553840
0.801980 0.614546 -0.589794 -0.516419
0.811881 0.635795 -0.645944 -0.467495
0.821782 0.653769 -0.705761 -0.394552
0.831683 0.635498 -0.737878 -0.301718
0.841584 0.563339 -0.720044 -0.211837
0.851485 0.451889 -0.653717 -0.156665
0.861386 0.347357 -0.567759 -0.158136
0.871287 0.300125 -0.505803 -0.210446
0.881188 0.326684 -0.500715 -0.275623
0.891089 0.392526 -0.549716 -0.300564
0.900990 0.433317 -0.608580 -0.250893
0.910891 0.400023 -0.616386 -0.141744
0.920792 0.295756 -0.542466 -0.038558
0.930693 0.179289 -0.423215 -0.013353
0.940594 0.126481 -0.347395 -0.076141
0.950495 0.160776 -0.375589 -0.140388
0.960396 0.206415 -0.445839 -0.087422
0.970297 0.154440 -0.385553 0.076084
0.980198 0.032464 -0.129318 0.125461
0.990099 0.014274 -0.023739 -0.117091
