   Position (m)       Function
0.009901 0.010604 -0.089923 0.050179
0.019802 0.048940 -0.206566 -0.079186
0.029703 0.021458 -0.131326 -0.064894
0.039604 0.063704 -0.245110 -0.060206
0.049505 0.139959 -0.267843 -0.261189
0.059406 0.156528 -0.109319 -0.380233
0.069307 0.121681 -0.015605 -0.348479
0.079208 0.127591 -0.035005 -0.355480
0.089109 0.193158 -0.001939 -0.439493
0.099010 0.227383 0.133257 -0.457849
0.108911 0.182870 0.244804 -0.350629
0.118812 0.108963 0.240938 -0.225636
0.128713 0.070997 0.179527 -0.196894
0.138614 0.089060 0.166394 -0.247736
0.148515 0.125044 0.218316 -0.278177
0.158416 0.123866 0.261886 -0.235120
0.168317 0.081904 0.237435 -0.159778
0.178218 0.043377 0.168761 -0.122052
0.188119 0.036197 0.129582 -0.139303
0.198020 0.054220 0.160645 -0.168562
0.207921 0.080085 0.229733 -0.165250
0.217822 0.089533 0.266581 -0.135896
0.227723 0.069515 0.228246 -0.131981
0.237624 0.056371 0.131675 -0.197567
0.247525 0.106431 0.031493 -0.324714
0.257426 0.209076 -0.027863 -0.456399
0.267327 0.283233 -0.041217 -0.530598
0.277228 0.277802 -0.033456 -0.526006
0.287129 0.225424 -0.028146 -0.473953
0.297030 0.187207 -0.025172 -0.431941
0.306931 0.196467 -0.005292 -0.443214
0.316832 0.264918 0.045983 -0.512644
0.326733 0.388981 0.118185 -0.612383
0.336634 0.532209 0.177254 -0.707665
0.346535 0.645604 0.187709 -0.781262
0.356436 0.725349 0.138478 -0.840341
0.366337 0.821171 0.052978 -0.904635
0.376238 0.976102 -0.024002 -0.987687
0.386139 1.180879 -0.053650 -1.085358
0.396040 1.389009 -0.026501 -1.178264
0.405941 1.549653 0.032997 -1.244413
0.415842 1.625625 0.082880 -1.272303
0.425743 1.611487 0.090001 -1.266249
0.435644 1.545216 0.049823 -1.242068
0.445545 1.482501 -0.011965 -1.217521
0.455446 1.452813 -0.056111 -1.204020
0.465347 1.451965 -0.054074 -1.203761
0.475248 1.469316 -0.005243 -1.212142
0.485149 1.498044 0.062805 -1.222334
0.495050 1.522285 0.110750 -1.228828
0.504950 1.522285 0.110750 -1.228828
0.514851 1.498044 0.062805 -1.222334
0.524752 1.469316 -0.005243 -1.212142
0.534653 1.451965 -0.054074 -1.203761
0.544554 1.452813 -0.056111 -1.204020
0.554455 1.482501 -0.011965 -1.217521
0.564356 1.545216 0.049823 -1.242068
0.574257 1.611487 0.090001 -1.266249
0.584158 1.625625 0.082880 -1.272303
0.594059 1.549653 0.032997 -1.244413
0.603960 1.389009 -0.026501 -1.178264
0.613861 1.180879 -0.053650 -1.085358
0.623762 0.976102 -0.024002 -0.987687
0.633663 0.821171 0.052978 -0.904635
0.643564 0.725349 0.138478 -0.840341
0.653465 0.645604 0.187709 -0.781262
0.663366 0.532209 0.177254 -0.707665
0.673267 0.388981 0.118185 -0.612383
0.683168 0.264918 0.045983 -0.512644
0.693069 0.196467 -0.005292 -0.443214
0.702970 0.187207 -0.025172 -0.431941
0.712871 0.225424 -0.028146 -0.473953
0.722772 0.277802 -0.033456 -0.526006
0.732673 0.283233 -0.041217 -0.530598
0.742574 0.209076 -0.027863 -0.456399
0.752475 0.106431 0.031493 -0.324714
0.762376 0.056371 0.131675 -0.197567
0.772277 0.069515 0.228246 -0.131981
0.782178 0.089533 0.266581 -0.135896
0.792079 0.080085 0.229733 -0.165250
0.801980 0.054220 0.160645 -0.168562
0.811881 0.036197 0.129582 -0.139303
0.821782 0.043377 0.168761 -0.122052
0.831683 0.081904 0.237435 -0.159778
0.841584 0.123866 0.261886 -0.235120
0.851485 0.125044 0.218316 -0.278177
0.861386 0.089060 0.166394 -0.247736
0.871287 0.070997 0.179527 -0.196894
0.881188 0.108963 0.240938 -0.225636
0.891089 0.182870 0.244804 -0.350629
0.900990 0.227383 0.133257 -0.457849
0.910891 0.193158 -0.001939 -0.439493
0.920792 0.127591 -0.035005 -0.355480
0.930693 0.121681 -0.015605 -0.348479
0.940594 0.156528 -0.109319 -0.380233
0.950495 0.139959 -0.267843 -0.261189
0.960396 0.063704 -0.245110 -0.060206
0.970297 0.021458 -0.131326 -0.064894
0.980198 0.048940 -0.206566 -0.079186
0.990099 0.010604 -0.089923 0.050179
