   Position (m)       Function
0.009901 0.017723 0.001888 -0.133115
0.019802 0.101341 0.225237 -0.224965
0.029703 0.053942 0.172972 -0.154994
0.039604 0.089928 0.091744 -0.285501
0.049505 0.161243 0.179508 -0.359193
0.059406 0.113303 0.234132 -0.241838
0.069307 0.030355 0.138196 -0.106101
0.079208 0.009119 0.017163 -0.093941
0.089109 0.022088 0.010895 -0.148219
0.099010 0.032380 0.101750 -0.148415
0.108911 0.037040 0.177541 -0.074290
0.118812 0.031737 0.178059 -0.005631
0.128713 0.021037 0.144596 -0.011345
0.138614 0.028792 0.152537 -0.074328
0.148515 0.064758 0.225928 -0.117108
0.158416 0.108362 0.319241 -0.080297
0.168317 0.135396 0.366887 0.028105
0.178218 0.139068 0.342143 0.148347
0.188119 0.124765 0.273869 0.223072
0.198020 0.103974 0.215857 0.239542
0.207921 0.093984 0.202006 0.230602
0.217822 0.109104 0.224231 0.242538
0.227723 0.150307 0.245552 0.300018
0.237624 0.209111 0.232986 0.393482
0.247525 0.276793 0.183720 0.492991
0.257426 0.344976 0.127306 0.573384
0.267327 0.409216 0.105441 0.630951
0.277228 0.485395 0.145157 0.681413
0.287129 0.611824 0.242898 0.743522
0.297030 0.810223 0.367668 0.821610
0.306931 1.038423 0.478977 0.899447
0.316832 1.200394 0.547576 0.948975
0.326733 1.220202 0.567415 0.947756
0.336634 1.106166 0.554032 0.893988
0.346535 0.940016 0.532615 0.810146
0.356436 0.812053 0.523724 0.733326
0.366337 0.772412 0.534308 0.697802
0.376238 0.827817 0.557359 0.719144
0.386139 0.955257 0.578467 0.787803
0.396040 1.106887 0.584419 0.874838
0.405941 1.219381 0.569091 0.946318
0.415842 1.244101 0.534354 0.979064
0.425743 1.178626 0.486898 0.970338
0.435644 1.066941 0.433796 0.937423
0.445545 0.968598 0.379632 0.908007
0.455446 0.927980 0.326425 0.906326
0.465347 0.962626 0.275580 0.941638
0.475248 1.061131 0.230007 1.004106
0.485149 1.182022 0.194668 1.069639
0.495050 1.265391 0.175142 1.111178
0.504950 1.265391 0.175142 1.111178
0.514851 1.182022 0.194668 1.069639
0.524752 1.061131 0.230007 1.004106
0.534653 0.962626 0.275580 0.941638
0.544554 0.927980 0.326425 0.906326
0.554455 0.968598 0.379632 0.908007
0.564356 1.066941 0.433796 0.937423
0.574257 1.178626 0.486898 0.970338
0.584158 1.244101 0.534354 0.979064
0.594059 1.219381 0.569091 0.946318
0.603960 1.106887 0.584419 0.874838
0.613861 0.955257 0.578467 0.787803
0.623762 0.827817 0.557359 0.719144
0.633663 0.772412 0.534308 0.697802
0.643564 0.812053 0.523724 0.733326
0.653465 0.940016 0.532615 0.810146
0.663366 1.106166 0.554032 0.893988
0.673267 1.220202 0.567415 0.947756
0.683168 1.200394 0.547576 0.948975
0.693069 1.038423 0.478977 0.899447
0.702970 0.810223 0.367668 0.821610
0.712871 0.611824 0.242898 0.743522
0.722772 0.485395 0.145157 0.681413
0.732673 0.409216 0.105441 0.630951
0.742574 0.344976 0.127306 0.573384
0.752475 0.276793 0.183720 0.492991
0.762376 0.209111 0.232986 0.393482
0.772277 0.150307 0.245552 0.300018
0.782178 0.109104 0.224231 0.242538
0.792079 0.093984 0.202006 0.230602
0.801980 0.103974 0.215857 0.239542
0.811881 0.124765 0.273869 0.223072
0.821782 0.139068 0.342143 0.148347
0.831683 0.135396 0.366887 0.028105
0.841584 0.108362 0.319241 -0.080297
0.851485 0.064758 0.225928 -0.117108
0.861386 0.028792 0.152537 -0.074328
0.871287 0.021037 0.144596 -0.011345
0.881188 0.031737 0.178059 -0.005631
0.891089 0.037040 0.177541 -0.074290
0.900990 0.032380 0.101750 -0.148415
0.910891 0.022088 0.010895 -0.148219
0.920792 0.009119 0.017163 -0.093941
0.930693 0.030355 0.138196 -0.106101
0.940594 0.113303 0.234132 -0.241838
0.950495 0.161243 0.179508 -0.359193
0.960396 0.089928 0.091744 -0.285501
0.970297 0.053942 0.172972 -0.154994
0.980198 0.101341 0.225237 -0.224965
0.990099 0.017723 0.001888 -0.133115
