   Position (m)       Function
0.009901 0.015664 -0.071706 -0.102579
0.019802 0.022658 -0.141043 -0.052581
0.029703 0.142017 -0.313775 -0.208715
0.039604 0.170169 -0.260575 -0.319797
0.049505 0.164364 -0.305027 -0.267063
0.059406 0.300279 -0.436652 -0.331080
0.069307 0.378694 -0.409869 -0.459022
0.079208 0.275525 -0.279979 -0.444001
0.089109 0.168419 -0.238450 -0.334006
0.099010 0.170496 -0.279420 -0.304008
0.108911 0.211081 -0.273077 -0.369473
0.118812 0.209267 -0.204033 -0.409436
0.128713 0.171837 -0.184794 -0.371064
0.138614 0.187884 -0.283088 -0.328246
0.148515 0.313863 -0.432101 -0.356584
0.158416 0.450324 -0.517297 -0.427466
0.168317 0.451962 -0.501154 -0.448114
0.178218 0.333486 -0.440115 -0.373879
0.188119 0.226607 -0.402312 -0.254464
0.198020 0.188569 -0.396866 -0.176257
0.207921 0.180191 -0.385398 -0.177931
0.217822 0.170165 -0.344670 -0.226644
0.227723 0.162319 -0.303346 -0.265142
0.237624 0.173716 -0.316390 -0.271319
0.247525 0.241399 -0.408676 -0.272732
0.257426 0.394453 -0.545360 -0.311504
0.267327 0.589988 -0.655441 -0.400482
0.277228 0.731082 -0.685103 -0.511583
0.287129 0.765284 -0.634933 -0.601784
0.297030 0.727551 -0.553649 -0.648863
0.306931 0.690680 -0.498274 -0.665134
0.316832 0.707682 -0.494339 -0.680669
0.326733 0.784612 -0.524292 -0.713954
0.336634 0.871024 -0.547357 -0.755926
0.346535 0.890063 -0.531508 -0.779463
0.356436 0.808890 -0.473463 -0.764672
0.366337 0.672761 -0.395489 -0.718575
0.376238 0.559776 -0.325767 -0.673537
0.386139 0.521065 -0.278787 -0.665840
0.396040 0.566842 -0.248931 -0.710546
0.405941 0.673454 -0.218978 -0.790887
0.415842 0.786821 -0.175042 -0.869587
0.425743 0.849257 -0.116927 -0.914103
0.435644 0.847191 -0.057975 -0.918602
0.445545 0.824728 -0.016281 -0.907999
0.455446 0.849051 -0.004044 -0.921431
0.465347 0.972157 -0.021425 -0.985748
0.475248 1.204185 -0.057249 -1.095860
0.485149 1.483666 -0.094640 -1.214376
0.495050 1.680931 -0.117920 -1.291134
0.504950 1.680931 -0.117920 -1.291134
0.514851 1.483666 -0.094640 -1.214376
0.524752 1.204185 -0.057249 -1.095860
0.534653 0.972157 -0.021425 -0.985748
0.544554 0.849051 -0.004044 -0.921431
0.554455 0.824728 -0.016281 -0.907999
0.564356 0.847191 -0.057975 -0.918602
0.574257 0.849257 -0.116927 -0.914103
0.584158 0.786821 -0.175042 -0.869587
0.594059 0.673454 -0.218978 -0.790887
0.603960 0.566842 -0.248931 -0.710546
0.613861 0.521065 -0.278787 -0.665840
0.623762 0.559776 -0.325767 -0.673537
0.633663 0.672761 -0.395489 -0.718575
0.643564 0.808890 -0.473463 -0.764672
0.653465 0.890063 -0.531508 -0.779463
0.663366 0.871024 -0.547357 -0.755926
0.673267 0.784612 -0.524292 -0.713954
0.683168 0.707682 -0.494339 -0.680669
0.693069 0.690680 -0.498274 -0.665134
0.702970 0.727551 -0.553649 -0.648863
0.712871 0.765284 -0.634933 -0.601784
0.722772 0.731082 -0.685103 -0.511583
0.732673 0.589988 -0.655441 -0.400482
0.742574 0.394453 -0.545360 -0.311504
0.752475 0.241399 -0.408676 -0.272732
0.762376 0.173716 -0.316390 -0.271319
0.772277 0.162319 -0.303346 -0.265142
0.782178 0.170165 -0.344670 -0.226644
0.792079 0.180191 -0.385398 -0.177931
0.801980 0.188569 -0.396866 -0.176257
0.811881 0.226607 -0.402312 -0.254464
0.821782 0.333486 -0.440115 -0.373879
0.831683 0.451962 -0.501154 -0.448114
0.841584 0.450324 -0.517297 -0.427466
0.851485 0.313863 -0.432101 -0.356584
0.861386 0.187884 -0.283088 -0.328246
0.871287 0.171837 -0.184794 -0.371064
0.881188 0.209267 -0.204033 -0.409436
0.891089 0.211081 -0.273077 -0.369473
0.900990 0.170496 -0.279420 -0.304008
0.910891 0.168419 -0.238450 -0.334006
0.920792 0.275525 -0.279979 -0.444001
0.930693 0.378694 -0.409869 -0.459022
0.940594 0.300279 -0.436652 -0.331080
0.950495 0.164364 -0.305027 -0.267063
0.960396 0.170169 -0.260575 -0.319797
0.970297 0.142017 -0.313775 -0.208715
0.980198 0.022658 -0.141043 -0.052581
0.990099 0.015664 -0.071706 -0.102579
