   Position (m)       Function
0.009901 0.002180 0.004854 -0.046442
0.019802 0.005106 -0.046310 0.054418
0.029703 0.009380 -0.093854 -0.023896
0.039604 0.005598 0.024384 0.070738
0.049505 0.059948 -0.031220 0.242845
0.059406 0.061408 -0.089713 0.230996
0.069307 0.043626 0.006108 0.208779
0.079208 0.085668 0.064041 0.285599
0.089109 0.089428 -0.020712 0.298326
0.099010 0.039536 -0.103928 0.169513
0.108911 0.009146 -0.084929 0.043967
0.118812 0.004736 -0.051942 0.045148
0.128713 0.024333 -0.104933 0.115421
0.138614 0.059645 -0.200078 0.140049
0.148515 0.064539 -0.228706 0.110601
0.158416 0.040893 -0.172860 0.104939
0.168317 0.039410 -0.121358 0.157105
0.178218 0.066999 -0.153814 0.208183
0.188119 0.098914 -0.254484 0.184802
0.198020 0.128363 -0.346819 0.089887
0.207921 0.149040 -0.386051 -0.002021
0.217822 0.159917 -0.398937 -0.027680
0.227723 0.193288 -0.439643 0.001447
0.237624 0.274871 -0.524011 0.016839
0.247525 0.378322 -0.613964 -0.037016
0.257426 0.459190 -0.660008 -0.153555
0.267327 0.500331 -0.650902 -0.276871
0.277228 0.510560 -0.620694 -0.353977
0.287129 0.513703 -0.611363 -0.374083
0.297030 0.531254 -0.631324 -0.364258
0.306931 0.547164 -0.649214 -0.354521
0.316832 0.514195 -0.626472 -0.348894
0.326733 0.417587 -0.557572 -0.326651
0.336634 0.304343 -0.482467 -0.267523
0.346535 0.243287 -0.461135 -0.175047
0.356436 0.287980 -0.530996 -0.077615
0.366337 0.462149 -0.679764 -0.008366
0.376238 0.727334 -0.852659 0.017520
0.386139 0.974392 -0.987066 0.009625
0.396040 1.101997 -1.049711 -0.010251
0.405941 1.108274 -1.052386 -0.027530
0.415842 1.081165 -1.038837 -0.044522
0.425743 1.117115 -1.054395 -0.073254
0.435644 1.266066 -1.118908 -0.118785
0.445545 1.513128 -1.218566 -0.168006
0.455446 1.776604 -1.318658 -0.194285
0.465347 1.953855 -1.386733 -0.175572
0.475248 2.003828 -1.411073 -0.112703
0.485149 1.972945 -1.404212 -0.033681
0.495050 1.935864 -1.391201 0.020605
0.504950 1.935864 -1.391201 0.020605
0.514851 1.972945 -1.404212 -0.033681
0.524752 2.003828 -1.411073 -0.112703
0.534653 1.953855 -1.386733 -0.175572
0.544554 1.776604 -1.318658 -0.194285
0.554455 1.513128 -1.218566 -0.168006
0.564356 1.266066 -1.118908 -0.118785
0.574257 1.117115 -1.054395 -0.073254
0.584158 1.081165 -1.038837 -0.044522
0.594059 1.108274 -1.052386 -0.027530
0.603960 1.101997 -1.049711 -0.010251
0.613861 0.974392 -0.987066 0.009625
0.623762 0.727334 -0.852659 0.017520
0.633663 0.462149 -0.679764 -0.008366
0.643564 0.287980 -0.530996 -0.077615
0.653465 0.243287 -0.461135 -0.175047
0.663366 0.304343 -0.482467 -0.267523
0.673267 0.417587 -0.557572 -0.326651
0.683168 0.514195 -0.626472 -0.348894
0.693069 0.547164 -0.649214 -0.354521
0.702970 0.531254 -0.631324 -0.364258
0.712871 0.513703 -0.611363 -0.374083
0.722772 0.510560 -0.620694 -0.353977
0.732673 0.500331 -0.650902 -0.276871
0.742574 0.459190 -0.660008 -0.153555
0.752475 0.378322 -0.613964 -0.037016
0.762376 0.274871 -0.524011 0.016839
0.772277 0.193288 -0.439643 0.001447
0.782178 0.159917 -0.398937 -0.027680
0.792079 0.149040 -0.386051 -0.002021
0.801980 0.128363 -0.346819 0.089887
0.811881 0.098914 -0.254484 0.184802
0.821782 0.066999 -0.153814 0.208183
0.831683 0.039410 -0.121358 0.157105
0.841584 0.040893 -0.172860 0.104939
0.851485 0.064539 -0.228706 0.110601
0.861386 0.059645 -0.200078 0.140049
0.871287 0.024333 -0.104933 0.115421
0.881188 0.004736 -0.051942 0.045148
0.891089 0.009146 -0.084929 0.043967
0.900990 0.039536 -0.103928 0.169513
0.910891 0.089428 -0.020712 0.298326
0.920792 0.085668 0.064041 0.285599
0.930693 0.043626 0.006108 0.208779
0.940594 0.061408 -0.089713 0.230996
0.950495 0.059948 -0.031220 0.242845
0.960396 0.005598 0.024384 0.070738
0.970297 0.009380 -0.093854 -0.023896
0.980198 0.005106 -0.046310 0.054418
0.990099 0.002180 0.004854 -0.046442
