   Position (m)       Function
0.009901 0.021125 -0.144272 -0.017610
0.019802 0.100521 -0.301826 0.097069
0.029703 0.213759 -0.461972 -0.018463
0.039604 0.153923 -0.389545 -0.046666
0.049505 0.195231 -0.441785 0.007556
0.059406 0.290428 -0.524605 -0.123359
0.069307 0.284791 -0.449257 -0.288027
0.079208 0.231413 -0.368938 -0.308704
0.089109 0.275611 -0.430833 -0.299988
0.099010 0.427209 -0.524788 -0.389624
0.108911 0.507769 -0.509027 -0.498659
0.118812 0.434231 -0.424592 -0.503937
0.128713 0.344172 -0.394529 -0.434188
0.138614 0.363183 -0.438956 -0.412917
0.148515 0.462193 -0.476435 -0.484978
0.158416 0.544054 -0.461531 -0.575363
0.168317 0.562619 -0.449931 -0.600151
0.178218 0.590707 -0.521980 -0.564131
0.188119 0.749085 -0.679212 -0.536429
0.198020 1.011960 -0.836924 -0.558138
0.207921 1.181724 -0.907922 -0.597830
0.217822 1.125161 -0.878643 -0.594263
0.227723 0.925971 -0.805769 -0.526031
0.237624 0.752456 -0.752496 -0.431516
0.247525 0.674991 -0.735611 -0.365879
0.257426 0.650254 -0.728464 -0.345824
0.267327 0.608601 -0.703558 -0.337057
0.277228 0.528457 -0.665818 -0.291793
0.287129 0.456486 -0.646235 -0.197146
0.297030 0.454155 -0.667839 -0.090261
0.306931 0.518917 -0.719751 -0.029597
0.316832 0.585000 -0.763266 -0.049246
0.326733 0.599864 -0.762885 -0.133682
0.336634 0.563161 -0.714283 -0.230134
0.346535 0.499235 -0.646239 -0.285674
0.356436 0.434634 -0.596762 -0.280193
0.366337 0.395898 -0.584196 -0.233696
0.376238 0.390518 -0.596161 -0.187378
0.386139 0.394902 -0.603460 -0.175323
0.396040 0.386427 -0.586361 -0.206418
0.405941 0.375269 -0.552120 -0.265390
0.415842 0.388770 -0.530400 -0.327789
0.425743 0.444399 -0.550244 -0.376338
0.435644 0.546043 -0.615841 -0.408391
0.445545 0.675614 -0.698973 -0.432493
0.455446 0.779810 -0.754280 -0.459207
0.465347 0.802428 -0.747706 -0.493320
0.475248 0.744197 -0.679485 -0.531504
0.485149 0.663114 -0.586376 -0.565047
0.495050 0.613335 -0.521049 -0.584674
0.504950 0.613335 -0.521049 -0.584674
0.514851 0.663114 -0.586376 -0.565047
0.524752 0.744197 -0.679485 -0.531504
0.534653 0.802428 -0.747706 -0.493320
0.544554 0.779810 -0.754280 -0.459207
0.554455 0.675614 -0.698973 -0.432493
0.564356 0.546043 -0.615841 -0.408391
0.574257 0.444399 -0.550244 -0.376338
0.584158 0.388770 -0.530400 -0.327789
0.594059 0.375269 -0.552120 -0.265390
0.603960 0.386427 -0.586361 -0.206418
0.613861 0.394902 -0.603460 -0.175323
0.623762 0.390518 -0.596161 -0.187378
0.633663 0.395898 -0.584196 -0.233696
0.643564 0.434634 -0.596762 -0.280193
0.653465 0.499235 -0.646239 -0.285674
0.663366 0.563161 -0.714283 -0.230134
0.673267 0.599864 -0.762885 -0.133682
0.683168 0.585000 -0.763266 -0.049246
0.693069 0.518917 -0.719751 -0.029597
0.702970 0.454155 -0.667839 -0.090261
0.712871 0.456486 -0.646235 -0.197146
0.722772 0.528457 -0.665818 -0.291793
0.732673 0.608601 -0.703558 -0.337057
0.742574 0.650254 -0.728464 -0.345824
0.752475 0.674991 -0.735611 -0.365879
0.762376 0.752456 -0.752496 -0.431516
0.772277 0.925971 -0.805769 -0.526031
0.782178 1.125161 -0.878643 -0.594263
0.792079 1.181724 -0.907922 -0.597830
0.801980 1.011960 -0.836924 -0.558138
0.811881 0.749085 -0.679212 -0.536429
0.821782 0.590707 -0.521980 -0.564131
0.831683 0.562619 -0.449931 -0.600151
0.841584 0.544054 -0.461531 -0.575363
0.851485 0.462193 -0.476435 -0.484978
0.861386 0.363183 -0.438956 -0.412917
0.871287 0.344172 -0.394529 -0.434188
0.881188 0.434231 -0.424592 -0.503937
0.891089 0.507769 -0.509027 -0.498659
0.900990 0.427209 -0.524788 -0.389624
0.910891 0.275611 -0.430833 -0.299988
0.920792 0.231413 -0.368938 -0.308704
0.930693 0.284791 -0.449257 -0.288027
0.940594 0.290428 -0.524605 -0.123359
0.950495 0.195231 -0.441785 0.007556
0.960396 0.153923 -0.389545 -0.046666
0.970297 0.213759 -0.461972 -0.018463
0.980198 0.100521 -0.301826 0.097069
0.990099 0.021125 -0.144272 -0.017610
