   Position (m)       Function
0.009901 0.003594 -0.038912 0.045608
0.019802 0.015351 -0.095768 -0.078607
0.029703 0.002182 0.029493 -0.036227
0.039604 0.001461 -0.038079 0.003378
0.049505 0.020333 -0.013174 -0.141983
0.059406 0.062941 0.169331 -0.185116
0.069307 0.071121 0.253120 -0.083969
0.079208 0.043041 0.203213 -0.041778
0.089109 0.044811 0.191259 -0.090723
0.099010 0.075551 0.260173 -0.088663
0.108911 0.082398 0.286876 0.009974
0.118812 0.047848 0.199918 0.088773
0.128713 0.007891 0.077385 0.043618
0.138614 0.009088 0.027986 -0.091133
0.148515 0.046188 0.057955 -0.206952
0.158416 0.071589 0.086222 -0.253288
0.168317 0.077711 0.056415 -0.272998
0.178218 0.107435 -0.000020 -0.327772
0.188119 0.177614 -0.007691 -0.421372
0.198020 0.258352 0.068202 -0.503687
0.207921 0.322557 0.189231 -0.535489
0.217822 0.368363 0.285292 -0.535697
0.227723 0.419558 0.318062 -0.564264
0.237624 0.533181 0.304919 -0.663480
0.247525 0.750199 0.290063 -0.816127
0.257426 1.003583 0.298757 -0.956205
0.267327 1.138517 0.318029 -1.018516
0.277228 1.067665 0.315956 -0.983787
0.287129 0.861518 0.276274 -0.886110
0.297030 0.660066 0.215601 -0.783315
0.306931 0.544018 0.169760 -0.717774
0.316832 0.511738 0.163096 -0.696518
0.326733 0.524798 0.187227 -0.699817
0.336634 0.539989 0.206062 -0.705356
0.346535 0.533178 0.182367 -0.707050
0.356436 0.523843 0.105369 -0.716059
0.366337 0.558204 -0.000664 -0.747130
0.376238 0.654144 -0.092277 -0.803511
0.386139 0.779306 -0.135525 -0.872318
0.396040 0.886234 -0.128038 -0.932652
0.405941 0.949258 -0.100443 -0.969107
0.415842 0.970817 -0.097064 -0.980508
0.425743 0.979396 -0.148643 -0.978418
0.435644 1.020528 -0.253869 -0.977792
0.445545 1.119102 -0.380258 -0.987170
0.455446 1.243259 -0.482984 -1.004980
0.465347 1.328109 -0.530016 -1.023324
0.475248 1.340964 -0.518987 -1.035189
0.485149 1.307272 -0.476613 -1.039284
0.495050 1.275289 -0.441670 -1.039335
0.504950 1.275289 -0.441670 -1.039335
0.514851 1.307272 -0.476613 -1.039284
0.524752 1.340964 -0.518987 -1.035189
0.534653 1.328109 -0.530016 -1.023324
0.544554 1.243259 -0.482984 -1.004980
0.554455 1.119102 -0.380258 -0.987170
0.564356 1.020528 -0.253869 -0.977792
0.574257 0.979396 -0.148643 -0.978418
0.584158 0.970817 -0.097064 -0.980508
0.594059 0.949258 -0.100443 -0.969107
0.603960 0.886234 -0.128038 -0.932652
0.613861 0.779306 -0.135525 -0.872318
0.623762 0.654144 -0.092277 -0.803511
0.633663 0.558204 -0.000664 -0.747130
0.643564 0.523843 0.105369 -0.716059
0.653465 0.533178 0.182367 -0.707050
0.663366 0.539989 0.206062 -0.705356
0.673267 0.524798 0.187227 -0.699817
0.683168 0.511738 0.163096 -0.696518
0.693069 0.544018 0.169760 -0.717774
0.702970 0.660066 0.215601 -0.783315
0.712871 0.861518 0.276274 -0.886110
0.722772 1.067665 0.315956 -0.983787
0.732673 1.138517 0.318029 -1.018516
0.742574 1.003583 0.298757 -0.956205
0.752475 0.750199 0.290063 -0.816127
0.762376 0.533181 0.304919 -0.663480
0.772277 0.419558 0.318062 -0.564264
0.782178 0.368363 0.285292 -0.535697
0.792079 0.322557 0.189231 -0.535489
0.801980 0.258352 0.068202 -0.503687
0.811881 0.177614 -0.007691 -0.421372
0.821782 0.107435 -0.000020 -0.327772
0.831683 0.077711 0.056415 -0.272998
0.841584 0.071589 0.086222 -0.253288
0.851485 0.046188 0.057955 -0.206952
0.861386 0.009088 0.027986 -0.091133
0.871287 0.007891 0.077385 0.043618
0.881188 0.047848 0.199918 0.088773
0.891089 0.082398 0.286876 0.009974
0.900990 0.075551 0.260173 -0.088663
0.910891 0.044811 0.191259 -0.090723
0.920792 0.043041 0.203213 -0.041778
0.930693 0.071121 0.253120 -0.083969
0.940594 0.062941 0.169331 -0.185116
0.950495 0.020333 -0.013174 -0.141983
0.960396 0.001461 -0.038079 0.003378
0.970297 0.002182 0.029493 -0.036227
0.980198 0.015351 -0.095768 -0.078607
0.990099 0.003594 -0.038912 0.045608
