   Position (m)       Function
0.009901 0.054984 -0.088730 0.217052
0.019802 0.026707 -0.161625 0.024167
0.029703 0.002804 -0.006995 0.052492
0.039604 0.045734 0.024379 0.212461
0.049505 0.087842 -0.081642 0.284914
0.059406 0.074478 -0.185155 0.200489
0.069307 0.036686 -0.188538 0.033759
0.079208 0.022460 -0.101393 -0.110360
0.089109 0.033188 0.001514 -0.182168
0.099010 0.043005 0.051544 -0.200869
0.108911 0.048405 0.029169 -0.218069
0.118812 0.075785 -0.036766 -0.272825
0.128713 0.144878 -0.097906 -0.367821
0.138614 0.238263 -0.118278 -0.473575
0.148515 0.311095 -0.091269 -0.550241
0.158416 0.327266 -0.037158 -0.570864
0.168317 0.285254 0.012373 -0.533948
0.178218 0.214155 0.032004 -0.461660
0.188119 0.150359 0.013932 -0.387511
0.198020 0.117305 -0.031196 -0.341075
0.207921 0.120131 -0.081826 -0.336802
0.217822 0.151010 -0.116584 -0.370700
0.227723 0.195644 -0.123558 -0.424708
0.237624 0.237116 -0.104289 -0.475647
0.247525 0.259744 -0.071765 -0.504573
0.257426 0.255024 -0.044154 -0.503065
0.267327 0.226809 -0.037306 -0.474781
0.277228 0.190626 -0.058995 -0.432604
0.287129 0.165968 -0.106776 -0.393151
0.297030 0.166423 -0.169738 -0.370961
0.306931 0.194460 -0.233100 -0.374332
0.316832 0.243604 -0.283736 -0.403854
0.326733 0.304790 -0.314690 -0.453608
0.336634 0.371481 -0.327298 -0.514156
0.346535 0.441006 -0.330430 -0.576039
0.356436 0.513938 -0.337337 -0.632568
0.366337 0.594460 -0.361221 -0.681160
0.376238 0.691714 -0.410948 -0.723073
0.386139 0.818767 -0.488130 -0.761902
0.396040 0.986311 -0.586333 -0.801577
0.405941 1.192940 -0.692527 -0.844598
0.415842 1.418612 -0.790308 -0.891081
0.425743 1.627772 -0.863959 -0.938801
0.435644 1.782635 -0.902324 -0.984097
0.445545 1.859685 -0.901528 -1.023197
0.455446 1.859617 -0.865921 -1.053469
0.465347 1.805180 -0.807086 -1.074147
0.475248 1.729455 -0.741174 -1.086331
0.485149 1.662689 -0.685220 -1.092320
0.495050 1.624812 -0.653284 -1.094546
0.504950 1.624812 -0.653284 -1.094546
0.514851 1.662689 -0.685220 -1.092320
0.524752 1.729455 -0.741174 -1.086331
0.534653 1.805180 -0.807086 -1.074147
0.544554 1.859617 -0.865921 -1.053469
0.554455 1.859685 -0.901528 -1.023197
0.564356 1.782635 -0.902324 -0.984097
0.574257 1.627772 -0.863959 -0.938801
0.584158 1.418612 -0.790308 -0.891081
0.594059 1.192940 -0.692527 -0.844598
0.603960 0.986311 -0.586333 -0.801577
0.613861 0.818767 -0.488130 -0.761902
0.623762 0.691714 -0.410948 -0.723073
0.633663 0.594460 -0.361221 -0.681160
0.643564 0.513938 -0.337337 -0.632568
0.653465 0.441006 -0.330430 -0.576039
0.663366 0.371481 -0.327298 -0.514156
0.673267 0.304790 -0.314690 -0.453608
0.683168 0.243604 -0.283736 -0.403854
0.693069 0.194460 -0.233100 -0.374332
0.702970 0.166423 -0.169738 -0.370961
0.712871 0.165968 -0.106776 -0.393151
0.722772 0.190626 -0.058995 -0.432604
0.732673 0.226809 -0.037306 -0.474781
0.742574 0.255024 -0.044154 -0.503065
0.752475 0.259744 -0.071765 -0.504573
0.762376 0.237116 -0.104289 -0.475647
0.772277 0.195644 -0.123558 -0.424708
0.782178 0.151010 -0.116584 -0.370700
0.792079 0.120131 -0.081826 -0.336802
0.801980 0.117305 -0.031196 -0.341075
0.811881 0.150359 0.013932 -0.387511
0.821782 0.214155 0.032004 -0.461660
0.831683 0.285254 0.012373 -0.533948
0.841584 0.327266 -0.037158 -0.570864
0.851485 0.311095 -0.091269 -0.550241
0.861386 0.238263 -0.118278 -0.473575
0.871287 0.144878 -0.097906 -0.367821
0.881188 0.075785 -0.036766 -0.272825
0.891089 0.048405 0.029169 -0.218069
0.900990 0.043005 0.051544 -0.200869
0.910891 0.033188 0.001514 -0.182168
0.920792 0.022460 -0.101393 -0.110360
0.930693 0.036686 -0.188538 0.033759
0.940594 0.074478 -0.185155 0.200489
0.950495 0.087842 -0.081642 0.284914
0.960396 0.045734 0.024379 0.212461
0.970297 0.002804 -0.006995 0.052492
0.980198 0.026707 -0.161625 0.024167
0.990099 0.054984 -0.088730 0.217052
