   Position (m)       Function
0.009901 0.006020 0.077212 0.007646
0.019802 0.014809 -0.102670 0.065329
0.029703 0.011620 -0.079592 -0.072700
0.039604 0.000925 0.019751 0.023131
0.049505 0.040879 -0.070969 0.189320
0.059406 0.094811 -0.225110 0.210087
0.069307 0.089054 -0.257703 0.150478
0.079208 0.062552 -0.191982 0.160297
0.089109 0.088744 -0.163289 0.249160
0.099010 0.146286 -0.227594 0.307387
0.108911 0.168590 -0.320342 0.256849
0.118812 0.142956 -0.354802 0.130657
0.128713 0.101131 -0.316984 0.025529
0.138614 0.071691 -0.267631 0.008035
0.148515 0.080173 -0.274389 0.069883
0.158416 0.147273 -0.350631 0.155983
0.168317 0.252290 -0.450413 0.222301
0.178218 0.333805 -0.511202 0.269216
0.188119 0.360434 -0.501502 0.330045
0.198020 0.379585 -0.437419 0.433877
0.207921 0.464304 -0.362961 0.576683
0.217822 0.619797 -0.315294 0.721378
0.227723 0.768013 -0.301563 0.822844
0.237624 0.825297 -0.300284 0.857395
0.247525 0.779040 -0.281551 0.836522
0.257426 0.689359 -0.229399 0.797957
0.267327 0.634712 -0.151609 0.782130
0.277228 0.660707 -0.072801 0.809572
0.287129 0.760570 -0.017625 0.871929
0.297030 0.883088 0.004276 0.939718
0.306931 0.961239 0.002773 0.980424
0.316832 0.952609 -0.000133 0.976017
0.326733 0.867061 0.016048 0.931023
0.336634 0.757633 0.058824 0.868431
0.346535 0.682070 0.119549 0.817177
0.356436 0.669616 0.179464 0.798379
0.366337 0.716105 0.220748 0.816931
0.376238 0.797835 0.236162 0.861430
0.386139 0.884101 0.232165 0.911153
0.396040 0.944958 0.224232 0.945874
0.405941 0.961521 0.227201 0.953887
0.415842 0.935126 0.245910 0.935229
0.425743 0.882943 0.271032 0.899714
0.435644 0.822030 0.282346 0.861574
0.445545 0.761298 0.258066 0.833487
0.455446 0.710802 0.185964 0.822325
0.465347 0.690345 0.071182 0.827815
0.475248 0.716116 -0.062968 0.843890
0.485149 0.775631 -0.181903 0.861709
0.495050 0.825599 -0.251766 0.873048
0.504950 0.825599 -0.251766 0.873048
0.514851 0.775631 -0.181903 0.861709
0.524752 0.716116 -0.062968 0.843890
0.534653 0.690345 0.071182 0.827815
0.544554 0.710802 0.185964 0.822325
0.554455 0.761298 0.258066 0.833487
0.564356 0.822030 0.282346 0.861574
0.574257 0.882943 0.271032 0.899714
0.584158 0.935126 0.245910 0.935229
0.594059 0.961521 0.227201 0.953887
0.603960 0.944958 0.224232 0.945874
0.613861 0.884101 0.232165 0.911153
0.623762 0.797835 0.236162 0.861430
0.633663 0.716105 0.220748 0.816931
0.643564 0.669616 0.179464 0.798379
0.653465 0.682070 0.119549 0.817177
0.663366 0.757633 0.058824 0.868431
0.673267 0.867061 0.016048 0.931023
0.683168 0.952609 -0.000133 0.976017
0.693069 0.961239 0.002773 0.980424
0.702970 0.883088 0.004276 0.939718
0.712871 0.760570 -0.017625 0.871929
0.722772 0.660707 -0.072801 0.809572
0.732673 0.634712 -0.151609 0.782130
0.742574 0.689359 -0.229399 0.797957
0.752475 0.779040 -0.281551 0.836522
0.762376 0.825297 -0.300284 0.857395
0.772277 0.768013 -0.301563 0.822844
0.782178 0.619797 -0.315294 0.721378
0.792079 0.464304 -0.362961 0.576683
0.801980 0.379585 -0.437419 0.433877
0.811881 0.360434 -0.501502 0.330045
0.821782 0.333805 -0.511202 0.269216
0.831683 0.252290 -0.450413 0.222301
0.841584 0.147273 -0.350631 0.155983
0.851485 0.080173 -0.274389 0.069883
0.861386 0.071691 -0.267631 0.008035
0.871287 0.101131 -0.316984 0.025529
0.881188 0.142956 -0.354802 0.130657
0.891089 0.168590 -0.320342 0.256849
0.900990 0.146286 -0.227594 0.307387
0.910891 0.088744 -0.163289 0.249160
0.920792 0.062552 -0.191982 0.160297
0.930693 0.089054 -0.257703 0.150478
0.940594 0.094811 -0.225110 0.210087
0.950495 0.040879 -0.070969 0.189320
0.960396 0.000925 0.019751 0.023131
0.970297 0.011620 -0.079592 -0.072700
0.980198 0.014809 -0.102670 0.065329
0.990099 0.006020 0.077212 0.007646
