   Position (m)       Function
0.009901 0.072800 -0.095432 -0.252374
0.019802 0.022406 0.114081 -0.096911
0.029703 0.005047 0.043805 0.055927
0.039604 0.017961 -0.114533 0.069595
0.049505 0.048779 -0.219514 -0.024346
0.059406 0.069434 -0.224323 -0.138251
0.069307 0.064918 -0.154862 -0.202327
0.079208 0.041804 -0.066476 -0.193352
0.089109 0.016973 -0.007138 -0.130085
0.099010 0.002774 0.001538 -0.052651
0.108911 0.001176 -0.034294 -0.000526
0.118812 0.008217 -0.090621 0.002211
0.128713 0.021721 -0.139244 -0.048292
0.138614 0.044711 -0.159223 -0.139138
0.148515 0.082301 -0.142932 -0.248739
0.158416 0.135687 -0.096260 -0.355558
0.168317 0.198877 -0.034427 -0.444625
0.178218 0.261159 0.024270 -0.510460
0.188119 0.313776 0.064471 -0.556435
0.198020 0.356068 0.077915 -0.591606
0.207921 0.396726 0.064972 -0.626502
0.217822 0.449028 0.033675 -0.669249
0.227723 0.522804 -0.003050 -0.723045
0.237624 0.617852 -0.030961 -0.785426
0.247525 0.722599 -0.037899 -0.849213
0.257426 0.818680 -0.016271 -0.904663
0.267327 0.888863 0.035789 -0.942116
0.277228 0.924100 0.114589 -0.954447
0.287129 0.926304 0.212143 -0.938775
0.297030 0.906010 0.318081 -0.897126
0.306931 0.876754 0.421722 -0.836005
0.316832 0.849424 0.513880 -0.765083
0.326733 0.829352 0.588117 -0.695320
0.336634 0.816991 0.641299 -0.636967
0.346535 0.810953 0.673479 -0.597812
0.356436 0.811047 0.687272 -0.581983
0.366337 0.819333 0.686912 -0.589479
0.376238 0.838648 0.677244 -0.616432
0.386139 0.869719 0.662837 -0.656023
0.396040 0.908814 0.647359 -0.699815
0.405941 0.947551 0.633266 -0.739273
0.415842 0.975223 0.621798 -0.767196
0.425743 0.982600 0.613197 -0.778839
0.435644 0.965377 0.607059 -0.772565
0.445545 0.925695 0.602706 -0.749961
0.455446 0.871209 0.599484 -0.715422
0.465347 0.812388 0.596954 -0.675303
0.475248 0.759452 0.594942 -0.636786
0.485149 0.720249 0.593482 -0.606653
0.495050 0.699581 0.592701 -0.590158
0.504950 0.699581 0.592701 -0.590158
0.514851 0.720249 0.593482 -0.606653
0.524752 0.759452 0.594942 -0.636786
0.534653 0.812388 0.596954 -0.675303
0.544554 0.871209 0.599484 -0.715422
0.554455 0.925695 0.602706 -0.749961
0.564356 0.965377 0.607059 -0.772565
0.574257 0.982600 0.613197 -0.778839
0.584158 0.975223 0.621798 -0.767196
0.594059 0.947551 0.633266 -0.739273
0.603960 0.908814 0.647359 -0.699815
0.613861 0.869719 0.662837 -0.656023
0.623762 0.838648 0.677244 -0.616432
0.633663 0.819333 0.686912 -0.589479
0.643564 0.811047 0.687272 -0.581983
0.653465 0.810953 0.673479 -0.597812
0.663366 0.816991 0.641299 -0.636967
0.673267 0.829352 0.588117 -0.695320
0.683168 0.849424 0.513880 -0.765083
0.693069 0.876754 0.421722 -0.836005
0.702970 0.906010 0.318081 -0.897126
0.712871 0.926304 0.212143 -0.938775
0.722772 0.924100 0.114589 -0.954447
0.732673 0.888863 0.035789 -0.942116
0.742574 0.818680 -0.016271 -0.904663
0.752475 0.722599 -0.037899 -0.849213
0.762376 0.617852 -0.030961 -0.785426
0.772277 0.522804 -0.003050 -0.723045
0.782178 0.449028 0.033675 -0.669249
0.792079 0.396726 0.064972 -0.626502
0.801980 0.356068 0.077915 -0.591606
0.811881 0.313776 0.064471 -0.556435
0.821782 0.261159 0.024270 -0.510460
0.831683 0.198877 -0.034427 -0.444625
0.841584 0.135687 -0.096260 -0.355558
0.851485 0.082301 -0.142932 -0.248739
0.861386 0.044711 -0.159223 -0.139138
0.871287 0.021721 -0.139244 -0.048292
0.881188 0.008217 -0.090621 0.002211
0.891089 0.001176 -0.034294 -0.000526
0.900990 0.002774 0.001538 -0.052651
0.910891 0.016973 -0.007138 -0.130085
0.920792 0.041804 -0.066476 -0.193352
0.930693 0.064918 -0.154862 -0.202327
0.940594 0.069434 -0.224323 -0.138251
0.950495 0.048779 -0.219514 -0.024346
0.960396 0.017961 -0.114533 0.069595
0.970297 0.005047 0.043805 0.055927
0.980198 0.022406 0.114081 -0.096911
0.990099 0.072800 -0.095432 -0.252374
