   Position (m)       Function
0.009901 0.022520 -0.011547 0.149623
0.019802 0.047973 -0.173482 -0.133706
0.029703 0.094817 -0.044781 -0.304651
0.039604 0.094177 0.082604 -0.295557
0.049505 0.063826 0.086815 -0.237253
0.059406 0.062440 0.002737 -0.249864
0.069307 0.137746 -0.077482 -0.362963
0.079208 0.289346 -0.087597 -0.530728
0.089109 0.468080 -0.018696 -0.683908
0.099010 0.608289 0.093143 -0.774347
0.108911 0.668169 0.198324 -0.792992
0.118812 0.650756 0.261868 -0.763008
0.128713 0.594851 0.276350 -0.720057
0.138614 0.546895 0.258803 -0.692760
0.148515 0.534947 0.237719 -0.691691
0.158416 0.559495 0.238256 -0.709034
0.168317 0.601299 0.271994 -0.726167
0.178218 0.636045 0.334069 -0.724184
0.188119 0.645396 0.407019 -0.692626
0.198020 0.620845 0.468527 -0.633504
0.207921 0.563246 0.499569 -0.560068
0.217822 0.482020 0.490189 -0.491666
0.227723 0.394772 0.441488 -0.447058
0.237624 0.324810 0.363952 -0.438577
0.247525 0.294492 0.273299 -0.468828
0.257426 0.315917 0.185540 -0.530558
0.267327 0.383969 0.112840 -0.609292
0.277228 0.476620 0.061190 -0.687660
0.287129 0.563435 0.030221 -0.750014
0.297030 0.618186 0.014799 -0.786109
0.306931 0.628968 0.007624 -0.793039
0.316832 0.600916 0.001918 -0.775185
0.326733 0.551271 -0.006571 -0.742447
0.336634 0.500748 -0.018723 -0.707388
0.346535 0.466300 -0.032403 -0.682093
0.356436 0.458185 -0.043770 -0.675477
0.366337 0.480678 -0.049015 -0.691575
0.376238 0.533632 -0.045986 -0.729052
0.386139 0.612600 -0.035228 -0.781894
0.396040 0.707663 -0.020165 -0.840985
0.405941 0.803152 -0.006404 -0.896165
0.415842 0.880405 -0.000375 -0.938299
0.425743 0.923541 -0.007659 -0.960980
0.435644 0.925621 -0.031460 -0.961578
0.445545 0.891589 -0.071570 -0.941524
0.455446 0.835970 -0.124113 -0.905851
0.465347 0.776451 -0.182122 -0.862138
0.475248 0.726978 -0.236828 -0.819079
0.485149 0.694176 -0.279384 -0.784933
0.495050 0.678528 -0.302651 -0.766114
0.504950 0.678528 -0.302651 -0.766114
0.514851 0.694176 -0.279384 -0.784933
0.524752 0.726978 -0.236828 -0.819079
0.534653 0.776451 -0.182122 -0.862138
0.544554 0.835970 -0.124113 -0.905851
0.554455 0.891589 -0.071570 -0.941524
0.564356 0.925621 -0.031460 -0.961578
0.574257 0.923541 -0.007659 -0.960980
0.584158 0.880405 -0.000375 -0.938299
0.594059 0.803152 -0.006404 -0.896165
0.603960 0.707663 -0.020165 -0.840985
0.613861 0.612600 -0.035228 -0.781894
0.623762 0.533632 -0.045986 -0.729052
0.633663 0.480678 -0.049015 -0.691575
0.643564 0.458185 -0.043770 -0.675477
0.653465 0.466300 -0.032403 -0.682093
0.663366 0.500748 -0.018723 -0.707388
0.673267 0.551271 -0.006571 -0.742447
0.683168 0.600916 0.001918 -0.775185
0.693069 0.628968 0.007624 -0.793039
0.702970 0.618186 0.014799 -0.786109
0.712871 0.563435 0.030221 -0.750014
0.722772 0.476620 0.061190 -0.687660
0.732673 0.383969 0.112840 -0.609292
0.742574 0.315917 0.185540 -0.530558
0.752475 0.294492 0.273299 -0.468828
0.762376 0.324810 0.363952 -0.438577
0.772277 0.394772 0.441488 -0.447058
0.782178 0.482020 0.490189 -0.491666
0.792079 0.563246 0.499569 -0.560068
0.801980 0.620845 0.468527 -0.633504
0.811881 0.645396 0.407019 -0.692626
0.821782 0.636045 0.334069 -0.724184
0.831683 0.601299 0.271994 -0.726167
0.841584 0.559495 0.238256 -0.709034
0.851485 0.534947 0.237719 -0.691691
0.861386 0.546895 0.258803 -0.692760
0.871287 0.594851 0.276350 -0.720057
0.881188 0.650756 0.261868 -0.763008
0.891089 0.668169 0.198324 -0.792992
0.900990 0.608289 0.093143 -0.774347
0.910891 0.468080 -0.018696 -0.683908
0.920792 0.289346 -0.087597 -0.530728
0.930693 0.137746 -0.077482 -0.362963
0.940594 0.062440 0.002737 -0.249864
0.950495 0.063826 0.086815 -0.237253
0.960396 0.094177 0.082604 -0.295557
0.970297 0.094817 -0.044781 -0.304651
0.980198 0.047973 -0.173482 -0.133706
0.990099 0.022520 -0.011547 0.149623
