   Position (m)       Function
0.009901 0.002793 0.049656 -0.018084
0.019802 0.023391 -0.147054 0.042024
0.029703 0.033186 -0.139959 -0.116608
0.039604 0.002738 -0.001539 -0.052305
0.049505 0.013571 -0.016845 0.115269
0.059406 0.036626 -0.106424 0.159059
0.069307 0.020396 -0.091134 0.109959
0.079208 0.014621 0.026595 0.117957
0.089109 0.062379 0.112048 0.223214
0.099010 0.118703 0.082188 0.334587
0.108911 0.129207 -0.021347 0.358819
0.118812 0.099137 -0.103500 0.297363
0.128713 0.065457 -0.116236 0.227917
0.138614 0.056631 -0.088262 0.220999
0.148515 0.085551 -0.079054 0.281606
0.158416 0.141586 -0.117276 0.357537
0.168317 0.184653 -0.178711 0.390788
0.178218 0.176225 -0.212595 0.361978
0.188119 0.122477 -0.185864 0.296533
0.198020 0.068068 -0.108614 0.237216
0.207921 0.044884 -0.025412 0.210328
0.217822 0.044696 0.016155 0.210796
0.227723 0.045306 -0.004532 0.212804
0.237624 0.042734 -0.071341 0.194023
0.247525 0.044838 -0.144538 0.154748
0.257426 0.048728 -0.185434 0.119757
0.267327 0.046444 -0.176603 0.123512
0.277228 0.052098 -0.127345 0.189423
0.287129 0.103987 -0.064202 0.316015
0.297030 0.228004 -0.014497 0.477278
0.306931 0.404209 0.007060 0.635735
0.316832 0.577855 0.002307 0.760164
0.326733 0.703315 -0.015958 0.838487
0.336634 0.775524 -0.034122 0.879977
0.346535 0.824764 -0.046076 0.906996
0.356436 0.889530 -0.055502 0.941514
0.366337 0.992306 -0.071934 0.993545
0.376238 1.127658 -0.103762 1.056831
0.386139 1.262373 -0.152552 1.113149
0.396040 1.350049 -0.211728 1.142462
0.405941 1.358334 -0.269987 1.133773
0.415842 1.292350 -0.317211 1.091663
0.425743 1.194958 -0.349535 1.035752
0.435644 1.124606 -0.370902 0.993498
0.445545 1.131454 -0.390413 0.989460
0.455446 1.245984 -0.417001 1.035420
0.465347 1.472369 -0.454236 1.125184
0.475248 1.775616 -0.497900 1.236007
0.485149 2.073992 -0.537554 1.336049
0.495050 2.261514 -0.561283 1.395161
0.504950 2.261514 -0.561283 1.395161
0.514851 2.073992 -0.537554 1.336049
0.524752 1.775616 -0.497900 1.236007
0.534653 1.472369 -0.454236 1.125184
0.544554 1.245984 -0.417001 1.035420
0.554455 1.131454 -0.390413 0.989460
0.564356 1.124606 -0.370902 0.993498
0.574257 1.194958 -0.349535 1.035752
0.584158 1.292350 -0.317211 1.091663
0.594059 1.358334 -0.269987 1.133773
0.603960 1.350049 -0.211728 1.142462
0.613861 1.262373 -0.152552 1.113149
0.623762 1.127658 -0.103762 1.056831
0.633663 0.992306 -0.071934 0.993545
0.643564 0.889530 -0.055502 0.941514
0.653465 0.824764 -0.046076 0.906996
0.663366 0.775524 -0.034122 0.879977
0.673267 0.703315 -0.015958 0.838487
0.683168 0.577855 0.002307 0.760164
0.693069 0.404209 0.007060 0.635735
0.702970 0.228004 -0.014497 0.477278
0.712871 0.103987 -0.064202 0.316015
0.722772 0.052098 -0.127345 0.189423
0.732673 0.046444 -0.176603 0.123512
0.742574 0.048728 -0.185434 0.119757
0.752475 0.044838 -0.144538 0.154748
0.762376 0.042734 -0.071341 0.194023
0.772277 0.045306 -0.004532 0.212804
0.782178 0.044696 0.016155 0.210796
0.792079 0.044884 -0.025412 0.210328
0.801980 0.068068 -0.108614 0.237216
0.811881 0.122477 -0.185864 0.296533
0.821782 0.176225 -0.212595 0.361978
0.831683 0.184653 -0.178711 0.390788
0.841584 0.141586 -0.117276 0.357537
0.851485 0.085551 -0.079054 0.281606
0.861386 0.056631 -0.088262 0.220999
0.871287 0.065457 -0.116236 0.227917
0.881188 0.099137 -0.103500 0.297363
0.891089 0.129207 -0.021347 0.358819
0.900990 0.118703 0.082188 0.334587
0.910891 0.062379 0.112048 0.223214
0.920792 0.014621 0.026595 0.117957
0.930693 0.020396 -0.091134 0.109959
0.940594 0.036626 -0.106424 0.159059
0.950495 0.013571 -0.016845 0.115269
0.960396 0.002738 -0.001539 -0.052305
0.970297 0.033186 -0.139959 -0.116608
0.980198 0.023391 -0.147054 0.042024
0.990099 0.002793 0.049656 -0.018084
