   Position (m)       Function
0.009901 0.114233 -0.139017 -0.308070
0.019802 0.053908 0.065778 -0.222669
0.029703 0.013916 0.005606 -0.117833
0.039604 0.042141 -0.153238 -0.136597
0.049505 0.147452 -0.274222 -0.268801
0.059406 0.283695 -0.298146 -0.441366
0.069307 0.395719 -0.233873 -0.583972
0.079208 0.452281 -0.126082 -0.660594
0.089109 0.453300 -0.023106 -0.672879
0.099010 0.420790 0.043685 -0.647211
0.108911 0.385088 0.066581 -0.616973
0.118812 0.372957 0.057417 -0.607997
0.128713 0.399546 0.037912 -0.630959
0.138614 0.464528 0.029429 -0.680927
0.148515 0.552740 0.045576 -0.742066
0.158416 0.639398 0.089076 -0.794647
0.168317 0.698577 0.152726 -0.821737
0.178218 0.712060 0.223136 -0.813800
0.188119 0.675137 0.285572 -0.770445
0.198020 0.597144 0.328367 -0.699513
0.207921 0.496929 0.345816 -0.614280
0.217822 0.395737 0.339119 -0.529845
0.227723 0.310843 0.315477 -0.459692
0.237624 0.252437 0.285861 -0.413184
0.247525 0.224241 0.262177 -0.394340
0.257426 0.226339 0.254532 -0.401935
0.267327 0.257900 0.269182 -0.430629
0.277228 0.318003 0.307484 -0.472712
0.287129 0.404291 0.365940 -0.519979
0.297030 0.510732 0.437173 -0.565343
0.306931 0.626361 0.511541 -0.603893
0.316832 0.736347 0.579023 -0.633308
0.326733 0.825403 0.630994 -0.653643
0.336634 0.882166 0.661612 -0.666660
0.346535 0.902558 0.668608 -0.674923
0.356436 0.890583 0.653438 -0.680883
0.366337 0.856226 0.620817 -0.686157
0.376238 0.811511 0.577793 -0.691134
0.386139 0.766540 0.532538 -0.694941
0.396040 0.727187 0.493067 -0.695753
0.405941 0.695174 0.466076 -0.691337
0.415842 0.669981 0.456056 -0.679701
0.425743 0.651216 0.464771 -0.659699
0.435644 0.639979 0.491151 -0.631467
0.445545 0.638495 0.531566 -0.596601
0.455446 0.648330 0.580438 -0.558052
0.465347 0.668370 0.631062 -0.519741
0.475248 0.693905 0.676550 -0.485989
0.485149 0.717547 0.710757 -0.460837
0.495050 0.731746 0.729088 -0.447411
0.504950 0.731746 0.729088 -0.447411
0.514851 0.717547 0.710757 -0.460837
0.524752 0.693905 0.676550 -0.485989
0.534653 0.668370 0.631062 -0.519741
0.544554 0.648330 0.580438 -0.558052
0.554455 0.638495 0.531566 -0.596601
0.564356 0.639979 0.491151 -0.631467
0.574257 0.651216 0.464771 -0.659699
0.584158 0.669981 0.456056 -0.679701
0.594059 0.695174 0.466076 -0.691337
0.603960 0.727187 0.493067 -0.695753
0.613861 0.766540 0.532538 -0.694941
0.623762 0.811511 0.577793 -0.691134
0.633663 0.856226 0.620817 -0.686157
0.643564 0.890583 0.653438 -0.680883
0.653465 0.902558 0.668608 -0.674923
0.663366 0.882166 0.661612 -0.666660
0.673267 0.825403 0.630994 -0.653643
0.683168 0.736347 0.579023 -0.633308
0.693069 0.626361 0.511541 -0.603893
0.702970 0.510732 0.437173 -0.565343
0.712871 0.404291 0.365940 -0.519979
0.722772 0.318003 0.307484 -0.472712
0.732673 0.257900 0.269182 -0.430629
0.742574 0.226339 0.254532 -0.401935
0.752475 0.224241 0.262177 -0.394340
0.762376 0.252437 0.285861 -0.413184
0.772277 0.310843 0.315477 -0.459692
0.782178 0.395737 0.339119 -0.529845
0.792079 0.496929 0.345816 -0.614280
0.801980 0.597144 0.328367 -0.699513
0.811881 0.675137 0.285572 -0.770445
0.821782 0.712060 0.223136 -0.813800
0.831683 0.698577 0.152726 -0.821737
0.841584 0.639398 0.089076 -0.794647
0.851485 0.552740 0.045576 -0.742066
0.861386 0.464528 0.029429 -0.680927
0.871287 0.399546 0.037912 -0.630959
0.881188 0.372957 0.057417 -0.607997
0.891089 0.385088 0.066581 -0.616973
0.900990 0.420790 0.043685 -0.647211
0.910891 0.453300 -0.023106 -0.672879
0.920792 0.452281 -0.126082 -0.660594
0.930693 0.395719 -0.233873 -0.583972
0.940594 0.283695 -0.298146 -0.441366
0.950495 0.147452 -0.274222 -0.268801
0.960396 0.042141 -0.153238 -0.136597
0.970297 0.013916 0.005606 -0.117833
0.980198 0.053908 0.065778 -0.222669
0.990099 0.114233 -0.139017 -0.308070
