   Position (m)       Function
0.009901 0.043357 0.162720 0.129918
0.019802 0.016100 -0.035545 -0.121804
0.029703 0.158296 0.027200 -0.396933
0.039604 0.339710 0.199562 -0.547617
0.049505 0.448702 0.350181 -0.571029
0.059406 0.453190 0.415589 -0.529600
0.069307 0.397264 0.396256 -0.490148
0.079208 0.350761 0.329727 -0.491977
0.089109 0.360230 0.261402 -0.540277
0.099010 0.428901 0.224064 -0.615383
0.108911 0.525953 0.229375 -0.687997
0.118812 0.609907 0.269535 -0.732979
0.128713 0.649815 0.324939 -0.737719
0.138614 0.635424 0.373510 -0.704212
0.148515 0.576085 0.398368 -0.646056
0.158416 0.493220 0.392112 -0.582639
0.168317 0.411656 0.357398 -0.532844
0.178218 0.352949 0.304603 -0.510064
0.188119 0.331346 0.247878 -0.519522
0.198020 0.351804 0.200960 -0.558049
0.207921 0.409541 0.173848 -0.615888
0.217822 0.491201 0.170950 -0.679689
0.227723 0.577862 0.190880 -0.735817
0.237624 0.649654 0.227617 -0.773204
0.247525 0.690860 0.272546 -0.785225
0.257426 0.693885 0.316770 -0.770416
0.267327 0.660663 0.353156 -0.732082
0.277228 0.601107 0.377716 -0.677080
0.287129 0.529396 0.390144 -0.614152
0.297030 0.459756 0.393497 -0.552192
0.306931 0.403382 0.393207 -0.498768
0.316832 0.367372 0.395690 -0.459131
0.326733 0.355436 0.406863 -0.435774
0.336634 0.369277 0.430856 -0.428532
0.346535 0.409409 0.469142 -0.435103
0.356436 0.474741 0.520202 -0.451809
0.366337 0.561187 0.579740 -0.474435
0.376238 0.660364 0.641392 -0.498980
0.386139 0.759564 0.697751 -0.522214
0.396040 0.843660 0.741566 -0.541978
0.405941 0.898625 0.766882 -0.557240
0.415842 0.915431 0.769983 -0.567942
0.425743 0.892766 0.749978 -0.574716
0.435644 0.837392 0.708991 -0.578553
0.445545 0.761958 0.651906 -0.580497
0.455446 0.681152 0.585749 -0.581421
0.465347 0.607745 0.518771 -0.581912
0.475248 0.550065 0.459383 -0.582265
0.485149 0.511642 0.415067 -0.582547
0.495050 0.492763 0.391415 -0.582716
0.504950 0.492763 0.391415 -0.582716
0.514851 0.511642 0.415067 -0.582547
0.524752 0.550065 0.459383 -0.582265
0.534653 0.607745 0.518771 -0.581912
0.544554 0.681152 0.585749 -0.581421
0.554455 0.761958 0.651906 -0.580497
0.564356 0.837392 0.708991 -0.578553
0.574257 0.892766 0.749978 -0.574716
0.584158 0.915431 0.769983 -0.567942
0.594059 0.898625 0.766882 -0.557240
0.603960 0.843660 0.741566 -0.541978
0.613861 0.759564 0.697751 -0.522214
0.623762 0.660364 0.641392 -0.498980
0.633663 0.561187 0.579740 -0.474435
0.643564 0.474741 0.520202 -0.451809
0.653465 0.409409 0.469142 -0.435103
0.663366 0.369277 0.430856 -0.428532
0.673267 0.355436 0.406863 -0.435774
0.683168 0.367372 0.395690 -0.459131
0.693069 0.403382 0.393207 -0.498768
0.702970 0.459756 0.393497 -0.552192
0.712871 0.529396 0.390144 -0.614152
0.722772 0.601107 0.377716 -0.677080
0.732673 0.660663 0.353156 -0.732082
0.742574 0.693885 0.316770 -0.770416
0.752475 0.690860 0.272546 -0.785225
0.762376 0.649654 0.227617 -0.773204
0.772277 0.577862 0.190880 -0.735817
0.782178 0.491201 0.170950 -0.679689
0.792079 0.409541 0.173848 -0.615888
0.801980 0.351804 0.200960 -0.558049
0.811881 0.331346 0.247878 -0.519522
0.821782 0.352949 0.304603 -0.510064
0.831683 0.411656 0.357398 -0.532844
0.841584 0.493220 0.392112 -0.582639
0.851485 0.576085 0.398368 -0.646056
0.861386 0.635424 0.373510 -0.704212
0.871287 0.649815 0.324939 -0.737719
0.881188 0.609907 0.269535 -0.732979
0.891089 0.525953 0.229375 -0.687997
0.900990 0.428901 0.224064 -0.615383
0.910891 0.360230 0.261402 -0.540277
0.920792 0.350761 0.329727 -0.491977
0.930693 0.397264 0.396256 -0.490148
0.940594 0.453190 0.415589 -0.529600
0.950495 0.448702 0.350181 -0.571029
0.960396 0.339710 0.199562 -0.547617
0.970297 0.158296 0.027200 -0.396933
0.980198 0.016100 -0.035545 -0.121804
0.990099 0.043357 0.162720 0.129918
