   Position (m)       Function
0.009901 0.000645 0.025381 -0.000909
0.019802 0.017439 0.024399 0.129785
0.029703 0.002579 -0.045632 0.022285
0.039604 0.005910 0.072640 -0.025169
0.049505 0.001344 0.023606 0.028055
0.059406 0.022812 -0.123043 -0.087593
0.069307 0.080997 -0.144961 -0.244915
0.079208 0.083564 -0.148181 -0.248207
0.089109 0.114836 -0.278712 -0.192756
0.099010 0.246494 -0.439169 -0.231570
0.108911 0.326102 -0.471189 -0.322619
0.118812 0.269900 -0.389527 -0.343757
0.128713 0.190891 -0.320226 -0.297231
0.138614 0.181657 -0.310945 -0.291497
0.148515 0.230517 -0.295694 -0.378262
0.158416 0.285048 -0.216853 -0.487876
0.168317 0.287020 -0.112540 -0.523789
0.178218 0.229834 -0.067916 -0.474575
0.188119 0.184862 -0.111969 -0.415120
0.198020 0.209904 -0.186527 -0.418464
0.207921 0.282921 -0.211152 -0.488196
0.217822 0.356372 -0.162938 -0.574303
0.227723 0.413816 -0.090179 -0.636933
0.237624 0.470103 -0.058097 -0.683174
0.247525 0.562757 -0.088818 -0.744895
0.257426 0.712452 -0.150921 -0.830466
0.267327 0.856466 -0.198552 -0.903904
0.277228 0.877734 -0.216354 -0.911551
0.287129 0.740610 -0.229703 -0.829365
0.297030 0.549062 -0.277019 -0.687257
0.306931 0.442213 -0.373657 -0.550085
0.316832 0.472113 -0.498922 -0.472429
0.326733 0.591295 -0.613574 -0.463489
0.336634 0.712513 -0.689398 -0.487076
0.346535 0.769977 -0.725884 -0.493020
0.356436 0.758813 -0.743331 -0.454172
0.366337 0.726976 -0.761926 -0.382681
0.376238 0.718099 -0.785845 -0.317090
0.386139 0.732945 -0.804485 -0.292829
0.396040 0.753137 -0.807457 -0.318041
0.405941 0.775373 -0.798989 -0.370120
0.415842 0.808538 -0.798840 -0.412786
0.425743 0.863000 -0.828374 -0.420473
0.435644 0.951807 -0.892561 -0.393880
0.445545 1.073263 -0.972171 -0.357976
0.455446 1.186575 -1.033142 -0.345244
0.465347 1.238439 -1.047680 -0.375243
0.475248 1.221913 -1.012962 -0.442518
0.485149 1.180486 -0.954477 -0.519095
0.495050 1.154376 -0.911097 -0.569455
0.504950 1.154376 -0.911097 -0.569455
0.514851 1.180486 -0.954477 -0.519095
0.524752 1.221913 -1.012962 -0.442518
0.534653 1.238439 -1.047680 -0.375243
0.544554 1.186575 -1.033142 -0.345244
0.554455 1.073263 -0.972171 -0.357976
0.564356 0.951807 -0.892561 -0.393880
0.574257 0.863000 -0.828374 -0.420473
0.584158 0.808538 -0.798840 -0.412786
0.594059 0.775373 -0.798989 -0.370120
0.603960 0.753137 -0.807457 -0.318041
0.613861 0.732945 -0.804485 -0.292829
0.623762 0.718099 -0.785845 -0.317090
0.633663 0.726976 -0.761926 -0.382681
0.643564 0.758813 -0.743331 -0.454172
0.653465 0.769977 -0.725884 -0.493020
0.663366 0.712513 -0.689398 -0.487076
0.673267 0.591295 -0.613574 -0.463489
0.683168 0.472113 -0.498922 -0.472429
0.693069 0.442213 -0.373657 -0.550085
0.702970 0.549062 -0.277019 -0.687257
0.712871 0.740610 -0.229703 -0.829365
0.722772 0.877734 -0.216354 -0.911551
0.732673 0.856466 -0.198552 -0.903904
0.742574 0.712452 -0.150921 -0.830466
0.752475 0.562757 -0.088818 -0.744895
0.762376 0.470103 -0.058097 -0.683174
0.772277 0.413816 -0.090179 -0.636933
0.782178 0.356372 -0.162938 -0.574303
0.792079 0.282921 -0.211152 -0.488196
0.801980 0.209904 -0.186527 -0.418464
0.811881 0.184862 -0.111969 -0.415120
0.821782 0.229834 -0.067916 -0.474575
0.831683 0.287020 -0.112540 -0.523789
0.841584 0.285048 -0.216853 -0.487876
0.851485 0.230517 -0.295694 -0.378262
0.861386 0.181657 -0.310945 -0.291497
0.871287 0.190891 -0.320226 -0.297231
0.881188 0.269900 -0.389527 -0.343757
0.891089 0.326102 -0.471189 -0.322619
0.900990 0.246494 -0.439169 -0.231570
0.910891 0.114836 -0.278712 -0.192756
0.920792 0.083564 -0.148181 -0.248207
0.930693 0.080997 -0.144961 -0.244915
0.940594 0.022812 -0.123043 -0.087593
0.950495 0.001344 0.023606 0.028055
0.960396 0.005910 0.072640 -0.025169
0.970297 0.002579 -0.045632 0.022285
0.980198 0.017439 0.024399 0.129785
0.990099 0.000645 0.025381 -0.000909
