   Position (m)       Function
0.009901 0.001744 -0.025671 0.032937
0.019802 0.033707 -0.165872 -0.078702
0.029703 0.018483 -0.024686 -0.133693
0.039604 0.003371 -0.023238 -0.053209
0.049505 0.033117 -0.072379 -0.166968
0.059406 0.122362 0.057158 -0.345101
0.069307 0.202196 0.231031 -0.385773
0.079208 0.206391 0.261368 -0.371588
0.089109 0.243533 0.196831 -0.452538
0.099010 0.393345 0.183975 -0.599582
0.108911 0.519966 0.245210 -0.678114
0.118812 0.494110 0.286279 -0.641992
0.128713 0.390757 0.249747 -0.573047
0.138614 0.352422 0.187777 -0.563171
0.148515 0.411273 0.190028 -0.612505
0.158416 0.498419 0.279486 -0.648311
0.168317 0.532827 0.393291 -0.614938
0.178218 0.482285 0.451441 -0.527718
0.188119 0.384924 0.430994 -0.446283
0.198020 0.310406 0.377262 -0.409975
0.207921 0.288771 0.355082 -0.403346
0.217822 0.298198 0.393987 -0.378117
0.227723 0.316293 0.473806 -0.302986
0.237624 0.343765 0.553323 -0.193905
0.247525 0.381405 0.609145 -0.101721
0.257426 0.428922 0.650935 -0.072145
0.267327 0.509764 0.705078 -0.112380
0.277228 0.652728 0.785591 -0.188613
0.287129 0.834737 0.878071 -0.252444
0.297030 0.974861 0.948537 -0.274113
0.306931 1.004934 0.968409 -0.259073
0.316832 0.932779 0.935707 -0.239229
0.326733 0.831065 0.877218 -0.248102
0.336634 0.779516 0.831103 -0.297968
0.346535 0.816132 0.822876 -0.372836
0.356436 0.916922 0.850911 -0.439172
0.366337 1.008807 0.890083 -0.465360
0.376238 1.019280 0.909876 -0.437499
0.386139 0.932461 0.894570 -0.363602
0.396040 0.798252 0.852809 -0.266399
0.405941 0.687457 0.811285 -0.171098
0.415842 0.644532 0.797116 -0.095596
0.425743 0.674593 0.819977 -0.047228
0.435644 0.748274 0.864658 -0.025292
0.445545 0.807738 0.898378 -0.025576
0.455446 0.791770 0.888762 -0.043273
0.465347 0.681955 0.822564 -0.073104
0.475248 0.522838 0.714950 -0.108093
0.485149 0.384476 0.604209 -0.139310
0.495050 0.310444 0.534366 -0.157785
0.504950 0.310444 0.534366 -0.157785
0.514851 0.384476 0.604209 -0.139310
0.524752 0.522838 0.714950 -0.108093
0.534653 0.681955 0.822564 -0.073104
0.544554 0.791770 0.888762 -0.043273
0.554455 0.807738 0.898378 -0.025576
0.564356 0.748274 0.864658 -0.025292
0.574257 0.674593 0.819977 -0.047228
0.584158 0.644532 0.797116 -0.095596
0.594059 0.687457 0.811285 -0.171098
0.603960 0.798252 0.852809 -0.266399
0.613861 0.932461 0.894570 -0.363602
0.623762 1.019280 0.909876 -0.437499
0.633663 1.008807 0.890083 -0.465360
0.643564 0.916922 0.850911 -0.439172
0.653465 0.816132 0.822876 -0.372836
0.663366 0.779516 0.831103 -0.297968
0.673267 0.831065 0.877218 -0.248102
0.683168 0.932779 0.935707 -0.239229
0.693069 1.004934 0.968409 -0.259073
0.702970 0.974861 0.948537 -0.274113
0.712871 0.834737 0.878071 -0.252444
0.722772 0.652728 0.785591 -0.188613
0.732673 0.509764 0.705078 -0.112380
0.742574 0.428922 0.650935 -0.072145
0.752475 0.381405 0.609145 -0.101721
0.762376 0.343765 0.553323 -0.193905
0.772277 0.316293 0.473806 -0.302986
0.782178 0.298198 0.393987 -0.378117
0.792079 0.288771 0.355082 -0.403346
0.801980 0.310406 0.377262 -0.409975
0.811881 0.384924 0.430994 -0.446283
0.821782 0.482285 0.451441 -0.527718
0.831683 0.532827 0.393291 -0.614938
0.841584 0.498419 0.279486 -0.648311
0.851485 0.411273 0.190028 -0.612505
0.861386 0.352422 0.187777 -0.563171
0.871287 0.390757 0.249747 -0.573047
0.881188 0.494110 0.286279 -0.641992
0.891089 0.519966 0.245210 -0.678114
0.900990 0.393345 0.183975 -0.599582
0.910891 0.243533 0.196831 -0.452538
0.920792 0.206391 0.261368 -0.371588
0.930693 0.202196 0.231031 -0.385773
0.940594 0.122362 0.057158 -0.345101
0.950495 0.033117 -0.072379 -0.166968
0.960396 0.003371 -0.023238 -0.053209
0.970297 0.018483 -0.024686 -0.133693
0.980198 0.033707 -0.165872 -0.078702
0.990099 0.001744 -0.025671 0.032937
