   Position (m)       Function
0.009901 0.095707 -0.096736 -0.293852
0.019802 0.101485 0.220790 -0.229645
0.029703 0.097766 0.296768 -0.098462
0.039604 0.058439 0.238212 -0.041153
0.049505 0.031252 0.155729 -0.083670
0.059406 0.049743 0.119174 -0.188522
0.069307 0.112442 0.149798 -0.300003
0.079208 0.193679 0.232504 -0.373659
0.089109 0.263592 0.334943 -0.389108
0.099010 0.302892 0.424754 -0.349966
0.108911 0.307361 0.480668 -0.276258
0.118812 0.284395 0.496610 -0.194354
0.128713 0.246906 0.480107 -0.128077
0.138614 0.208689 0.447260 -0.092991
0.148515 0.182486 0.416636 -0.094340
0.158416 0.179549 0.403900 -0.128117
0.168317 0.208887 0.418314 -0.184120
0.178218 0.275333 0.461466 -0.249763
0.188119 0.377085 0.527982 -0.313560
0.198020 0.504349 0.607645 -0.367582
0.207921 0.640504 0.688171 -0.408565
0.217822 0.766073 0.757934 -0.437733
0.227723 0.864318 0.808123 -0.459624
0.237624 0.926344 0.834019 -0.480372
0.247525 0.953658 0.835303 -0.505892
0.257426 0.957096 0.815543 -0.540356
0.267327 0.952548 0.781060 -0.585229
0.277228 0.955129 0.739502 -0.638957
0.287129 0.973989 0.698402 -0.697297
0.297030 1.009600 0.663973 -0.754148
0.306931 1.054246 0.640278 -0.802676
0.316832 1.095231 0.628869 -0.836513
0.326733 1.119356 0.628856 -0.850821
0.336634 1.116955 0.637338 -0.843063
0.346535 1.084186 0.650074 -0.813381
0.356436 1.023130 0.662257 -0.764556
0.366337 0.940130 0.669262 -0.701582
0.376238 0.843368 0.667278 -0.630958
0.386139 0.740752 0.653745 -0.559794
0.396040 0.638768 0.627577 -0.494889
0.405941 0.542398 0.589179 -0.441889
0.415842 0.455645 0.540287 -0.404642
0.425743 0.382036 0.483685 -0.384817
0.435644 0.324594 0.422856 -0.381821
0.445545 0.285222 0.361612 -0.393012
0.455446 0.263803 0.303765 -0.414162
0.465347 0.257616 0.252839 -0.440101
0.475248 0.261539 0.211853 -0.465464
0.485149 0.269198 0.183175 -0.485433
0.495050 0.274767 0.168425 -0.496387
0.504950 0.274767 0.168425 -0.496387
0.514851 0.269198 0.183175 -0.485433
0.524752 0.261539 0.211853 -0.465464
0.534653 0.257616 0.252839 -0.440101
0.544554 0.263803 0.303765 -0.414162
0.554455 0.285222 0.361612 -0.393012
0.564356 0.324594 0.422856 -0.381821
0.574257 0.382036 0.483685 -0.384817
0.584158 0.455645 0.540287 -0.404642
0.594059 0.542398 0.589179 -0.441889
0.603960 0.638768 0.627577 -0.494889
0.613861 0.740752 0.653745 -0.559794
0.623762 0.843368 0.667278 -0.630958
0.633663 0.940130 0.669262 -0.701582
0.643564 1.023130 0.662257 -0.764556
0.653465 1.084186 0.650074 -0.813381
0.663366 1.116955 0.637338 -0.843063
0.673267 1.119356 0.628856 -0.850821
0.683168 1.095231 0.628869 -0.836513
0.693069 1.054246 0.640278 -0.802676
0.702970 1.009600 0.663973 -0.754148
0.712871 0.973989 0.698402 -0.697297
0.722772 0.955129 0.739502 -0.638957
0.732673 0.952548 0.781060 -0.585229
0.742574 0.957096 0.815543 -0.540356
0.752475 0.953658 0.835303 -0.505892
0.762376 0.926344 0.834019 -0.480372
0.772277 0.864318 0.808123 -0.459624
0.782178 0.766073 0.757934 -0.437733
0.792079 0.640504 0.688171 -0.408565
0.801980 0.504349 0.607645 -0.367582
0.811881 0.377085 0.527982 -0.313560
0.821782 0.275333 0.461466 -0.249763
0.831683 0.208887 0.418314 -0.184120
0.841584 0.179549 0.403900 -0.128117
0.851485 0.182486 0.416636 -0.094340
0.861386 0.208689 0.447260 -0.092991
0.871287 0.246906 0.480107 -0.128077
0.881188 0.284395 0.496610 -0.194354
0.891089 0.307361 0.480668 -0.276258
0.900990 0.302892 0.424754 -0.349966
0.910891 0.263592 0.334943 -0.389108
0.920792 0.193679 0.232504 -0.373659
0.930693 0.112442 0.149798 -0.300003
0.940594 0.049743 0.119174 -0.188522
0.950495 0.031252 0.155729 -0.083670
0.960396 0.058439 0.238212 -0.041153
0.970297 0.097766 0.296768 -0.098462
0.980198 0.101485 0.220790 -0.229645
0.990099 0.095707 -0.096736 -0.293852
