   Position (m)       Function
0.009901 0.013445 0.027558 -0.112629
0.019802 0.006406 -0.013752 -0.078848
0.029703 0.049722 -0.054073 -0.216329
0.039604 0.029789 0.051543 -0.164719
0.049505 0.001935 -0.025286 -0.035998
0.059406 0.014621 -0.090206 -0.080524
0.069307 0.013261 0.009392 -0.114773
0.079208 0.007897 0.076694 -0.044886
0.089109 0.002316 0.018237 -0.044536
0.099010 0.033257 -0.020887 -0.181164
0.108911 0.092808 0.039092 -0.302125
0.118812 0.093740 0.090644 -0.292444
0.128713 0.049270 0.034882 -0.219211
0.138614 0.042138 -0.072673 -0.191982
0.148515 0.056982 -0.118624 -0.207148
0.158416 0.042047 -0.087663 -0.185370
0.168317 0.015270 -0.066315 -0.104272
0.178218 0.016171 -0.122594 -0.033787
0.188119 0.055010 -0.229980 -0.046034
0.198020 0.114585 -0.313431 -0.127852
0.207921 0.155034 -0.340718 -0.197346
0.217822 0.159596 -0.349877 -0.192827
0.227723 0.173439 -0.395287 -0.131099
0.237624 0.240998 -0.484145 -0.081250
0.247525 0.335404 -0.571668 -0.092736
0.257426 0.397677 -0.611836 -0.152755
0.267327 0.409280 -0.605539 -0.206403
0.277228 0.402660 -0.598917 -0.209663
0.287129 0.433883 -0.638392 -0.162293
0.297030 0.539790 -0.728348 -0.096431
0.306931 0.689948 -0.829639 -0.040584
0.316832 0.804369 -0.896858 0.003871
0.326733 0.847813 -0.919127 0.054934
0.336634 0.879501 -0.929644 0.123540
0.346535 0.994740 -0.977919 0.195999
0.356436 1.243542 -1.088669 0.241541
0.366337 1.592473 -1.239426 0.237270
0.376238 1.918280 -1.372194 0.188055
0.386139 2.057305 -1.428927 0.124389
0.396040 1.926060 -1.385503 0.080260
0.405941 1.599830 -1.262953 0.069129
0.415842 1.242415 -1.111988 0.076794
0.425743 0.973499 -0.983730 0.075983
0.435644 0.822527 -0.905518 0.050638
0.445545 0.764277 -0.874162 0.010858
0.455446 0.751287 -0.866670 -0.013048
0.465347 0.737471 -0.858734 0.006821
0.475248 0.709485 -0.839122 0.073208
0.485149 0.685702 -0.812932 0.157618
0.495050 0.677434 -0.794218 0.215991
0.504950 0.677434 -0.794218 0.215991
0.514851 0.685702 -0.812932 0.157618
0.524752 0.709485 -0.839122 0.073208
0.534653 0.737471 -0.858734 0.006821
0.544554 0.751287 -0.866670 -0.013048
0.554455 0.764277 -0.874162 0.010858
0.564356 0.822527 -0.905518 0.050638
0.574257 0.973499 -0.983730 0.075983
0.584158 1.242415 -1.111988 0.076794
0.594059 1.599830 -1.262953 0.069129
0.603960 1.926060 -1.385503 0.080260
0.613861 2.057305 -1.428927 0.124389
0.623762 1.918280 -1.372194 0.188055
0.633663 1.592473 -1.239426 0.237270
0.643564 1.243542 -1.088669 0.241541
0.653465 0.994740 -0.977919 0.195999
0.663366 0.879501 -0.929644 0.123540
0.673267 0.847813 -0.919127 0.054934
0.683168 0.804369 -0.896858 0.003871
0.693069 0.689948 -0.829639 -0.040584
0.702970 0.539790 -0.728348 -0.096431
0.712871 0.433883 -0.638392 -0.162293
0.722772 0.402660 -0.598917 -0.209663
0.732673 0.409280 -0.605539 -0.206403
0.742574 0.397677 -0.611836 -0.152755
0.752475 0.335404 -0.571668 -0.092736
0.762376 0.240998 -0.484145 -0.081250
0.772277 0.173439 -0.395287 -0.131099
0.782178 0.159596 -0.349877 -0.192827
0.792079 0.155034 -0.340718 -0.197346
0.801980 0.114585 -0.313431 -0.127852
0.811881 0.055010 -0.229980 -0.046034
0.821782 0.016171 -0.122594 -0.033787
0.831683 0.015270 -0.066315 -0.104272
0.841584 0.042047 -0.087663 -0.185370
0.851485 0.056982 -0.118624 -0.207148
0.861386 0.042138 -0.072673 -0.191982
0.871287 0.049270 0.034882 -0.219211
0.881188 0.093740 0.090644 -0.292444
0.891089 0.092808 0.039092 -0.302125
0.900990 0.033257 -0.020887 -0.181164
0.910891 0.002316 0.018237 -0.044536
0.920792 0.007897 0.076694 -0.044886
0.930693 0.013261 0.009392 -0.114773
0.940594 0.014621 -0.090206 -0.080524
0.950495 0.001935 -0.025286 -0.035998
0.960396 0.029789 0.051543 -0.164719
0.970297 0.049722 -0.054073 -0.216329
0.980198 0.006406 -0.013752 -0.078848
0.990099 0.013445 0.027558 -0.112629
