   Position (m)       Function
0.009901 0.010474 0.095845 0.035881
0.019802 0.046563 -0.059547 0.207407
0.029703 0.016666 -0.100525 0.080998
0.039604 0.009079 0.026407 0.091551
0.049505 0.056157 0.027686 0.235352
0.059406 0.098630 -0.111787 0.293484
0.069307 0.096104 -0.217636 0.220768
0.079208 0.063269 -0.204520 0.146426
0.089109 0.051867 -0.143038 0.177222
0.099010 0.104973 -0.139225 0.292557
0.108911 0.205946 -0.219180 0.397374
0.118812 0.287682 -0.324503 0.427059
0.128713 0.304814 -0.385859 0.394875
0.138614 0.280333 -0.387949 0.360317
0.148515 0.275645 -0.374715 0.367741
0.158416 0.334447 -0.405753 0.412082
0.168317 0.461898 -0.508209 0.451244
0.178218 0.633532 -0.659797 0.445196
0.188119 0.803279 -0.808001 0.387832
0.198020 0.915933 -0.905232 0.310625
0.207921 0.940887 -0.934398 0.260358
0.217822 0.903128 -0.911355 0.269369
0.227723 0.867366 -0.867936 0.337716
0.237624 0.878844 -0.829952 0.435918
0.247525 0.920842 -0.804247 0.523478
0.257426 0.934760 -0.780523 0.570565
0.267327 0.879155 -0.743839 0.570840
0.277228 0.765730 -0.688300 0.540346
0.287129 0.644032 -0.623343 0.505446
0.297030 0.562332 -0.569554 0.487791
0.306931 0.543719 -0.547189 0.494270
0.316832 0.584637 -0.564271 0.515979
0.326733 0.659454 -0.610752 0.535196
0.336634 0.724756 -0.661652 0.535698
0.346535 0.733765 -0.687465 0.511035
0.356436 0.662950 -0.666804 0.467250
0.366337 0.530798 -0.595544 0.419674
0.376238 0.387866 -0.488658 0.386108
0.386139 0.284436 -0.374295 0.379920
0.396040 0.244814 -0.282901 0.405933
0.405941 0.267532 -0.235977 0.460268
0.415842 0.341552 -0.238840 0.533392
0.425743 0.455837 -0.279889 0.614410
0.435644 0.595399 -0.336164 0.694545
0.445545 0.737178 -0.382676 0.768594
0.455446 0.857481 -0.401745 0.834315
0.465347 0.944583 -0.388876 0.890707
0.475248 1.001656 -0.353233 0.936420
0.485149 1.037216 -0.312852 0.969195
0.495050 1.055278 -0.286696 0.986450
0.504950 1.055278 -0.286696 0.986450
0.514851 1.037216 -0.312852 0.969195
0.524752 1.001656 -0.353233 0.936420
0.534653 0.944583 -0.388876 0.890707
0.544554 0.857481 -0.401745 0.834315
0.554455 0.737178 -0.382676 0.768594
0.564356 0.595399 -0.336164 0.694545
0.574257 0.455837 -0.279889 0.614410
0.584158 0.341552 -0.238840 0.533392
0.594059 0.267532 -0.235977 0.460268
0.603960 0.244814 -0.282901 0.405933
0.613861 0.284436 -0.374295 0.379920
0.623762 0.387866 -0.488658 0.386108
0.633663 0.530798 -0.595544 0.419674
0.643564 0.662950 -0.666804 0.467250
0.653465 0.733765 -0.687465 0.511035
0.663366 0.724756 -0.661652 0.535698
0.673267 0.659454 -0.610752 0.535196
0.683168 0.584637 -0.564271 0.515979
0.693069 0.543719 -0.547189 0.494270
0.702970 0.562332 -0.569554 0.487791
0.712871 0.644032 -0.623343 0.505446
0.722772 0.765730 -0.688300 0.540346
0.732673 0.879155 -0.743839 0.570840
0.742574 0.934760 -0.780523 0.570565
0.752475 0.920842 -0.804247 0.523478
0.762376 0.878844 -0.829952 0.435918
0.772277 0.867366 -0.867936 0.337716
0.782178 0.903128 -0.911355 0.269369
0.792079 0.940887 -0.934398 0.260358
0.801980 0.915933 -0.905232 0.310625
0.811881 0.803279 -0.808001 0.387832
0.821782 0.633532 -0.659797 0.445196
0.831683 0.461898 -0.508209 0.451244
0.841584 0.334447 -0.405753 0.412082
0.851485 0.275645 -0.374715 0.367741
0.861386 0.280333 -0.387949 0.360317
0.871287 0.304814 -0.385859 0.394875
0.881188 0.287682 -0.324503 0.427059
0.891089 0.205946 -0.219180 0.397374
0.900990 0.104973 -0.139225 0.292557
0.910891 0.051867 -0.143038 0.177222
0.920792 0.063269 -0.204520 0.146426
0.930693 0.096104 -0.217636 0.220768
0.940594 0.098630 -0.111787 0.293484
0.950495 0.056157 0.027686 0.235352
0.960396 0.009079 0.026407 0.091551
0.970297 0.016666 -0.100525 0.080998
0.980198 0.046563 -0.059547 0.207407
0.990099 0.010474 0.095845 0.035881
