   Position (m)       Function
0.009901 0.017509 -0.129938 0.025004
0.019802 0.000078 -0.003462 -0.008151
0.029703 0.030996 -0.077065 0.158295
0.039604 0.063969 -0.235991 0.090981
0.049505 0.046279 -0.207514 -0.056719
0.059406 0.015371 -0.105970 -0.064351
0.069307 0.013444 -0.115212 0.013064
0.079208 0.047963 -0.217379 0.026639
0.089109 0.078469 -0.277278 -0.039825
0.099010 0.060638 -0.232847 -0.080124
0.108911 0.021102 -0.144779 -0.011863
0.118812 0.030216 -0.104463 0.138937
0.128713 0.096256 -0.136749 0.278488
0.138614 0.150175 -0.190490 0.337474
0.148515 0.142908 -0.201040 0.320142
0.158416 0.102285 -0.151919 0.281435
0.168317 0.080150 -0.084178 0.270303
0.178218 0.089096 -0.057314 0.292935
0.188119 0.112427 -0.101869 0.319453
0.198020 0.141689 -0.200394 0.318640
0.207921 0.175919 -0.304777 0.288150
0.217822 0.204276 -0.371057 0.258055
0.227723 0.220772 -0.385237 0.269006
0.237624 0.251467 -0.365251 0.343597
0.247525 0.339265 -0.342576 0.471070
0.257426 0.491729 -0.338993 0.613851
0.267327 0.657523 -0.353832 0.729607
0.277228 0.765871 -0.367635 0.794176
0.287129 0.787404 -0.357203 0.812287
0.297030 0.755627 -0.311161 0.811668
0.306931 0.737949 -0.236698 0.825786
0.316832 0.790720 -0.154770 0.875652
0.326733 0.929480 -0.087997 0.960071
0.336634 1.121848 -0.048958 1.058041
0.346535 1.301953 -0.035304 1.140485
0.356436 1.404023 -0.033514 1.184441
0.366337 1.399661 -0.028227 1.182736
0.376238 1.311985 -0.011409 1.145362
0.386139 1.195055 0.013693 1.093100
0.396040 1.098138 0.035602 1.047316
0.405941 1.044023 0.042637 1.020884
0.415842 1.029029 0.031311 1.013927
0.425743 1.031254 0.010491 1.015452
0.435644 1.018936 -0.001053 1.009423
0.445545 0.965144 0.017205 0.982267
0.455446 0.868625 0.077456 0.928776
0.465347 0.761080 0.176218 0.854417
0.475248 0.684530 0.293311 0.773627
0.485149 0.655532 0.397952 0.705100
0.495050 0.654626 0.459675 0.665827
0.504950 0.654626 0.459675 0.665827
0.514851 0.655532 0.397952 0.705100
0.524752 0.684530 0.293311 0.773627
0.534653 0.761080 0.176218 0.854417
0.544554 0.868625 0.077456 0.928776
0.554455 0.965144 0.017205 0.982267
0.564356 1.018936 -0.001053 1.009423
0.574257 1.031254 0.010491 1.015452
0.584158 1.029029 0.031311 1.013927
0.594059 1.044023 0.042637 1.020884
0.603960 1.098138 0.035602 1.047316
0.613861 1.195055 0.013693 1.093100
0.623762 1.311985 -0.011409 1.145362
0.633663 1.399661 -0.028227 1.182736
0.643564 1.404023 -0.033514 1.184441
0.653465 1.301953 -0.035304 1.140485
0.663366 1.121848 -0.048958 1.058041
0.673267 0.929480 -0.087997 0.960071
0.683168 0.790720 -0.154770 0.875652
0.693069 0.737949 -0.236698 0.825786
0.702970 0.755627 -0.311161 0.811668
0.712871 0.787404 -0.357203 0.812287
0.722772 0.765871 -0.367635 0.794176
0.732673 0.657523 -0.353832 0.729607
0.742574 0.491729 -0.338993 0.613851
0.752475 0.339265 -0.342576 0.471070
0.762376 0.251467 -0.365251 0.343597
0.772277 0.220772 -0.385237 0.269006
0.782178 0.204276 -0.371057 0.258055
0.792079 0.175919 -0.304777 0.288150
0.801980 0.141689 -0.200394 0.318640
0.811881 0.112427 -0.101869 0.319453
0.821782 0.089096 -0.057314 0.292935
0.831683 0.080150 -0.084178 0.270303
0.841584 0.102285 -0.151919 0.281435
0.851485 0.142908 -0.201040 0.320142
0.861386 0.150175 -0.190490 0.337474
0.871287 0.096256 -0.136749 0.278488
0.881188 0.030216 -0.104463 0.138937
0.891089 0.021102 -0.144779 -0.011863
0.900990 0.060638 -0.232847 -0.080124
0.910891 0.078469 -0.277278 -0.039825
0.920792 0.047963 -0.217379 0.026639
0.930693 0.013444 -0.115212 0.013064
0.940594 0.015371 -0.105970 -0.064351
0.950495 0.046279 -0.207514 -0.056719
0.960396 0.063969 -0.235991 0.090981
0.970297 0.030996 -0.077065 0.158295
0.980198 0.000078 -0.003462 -0.008151
0.990099 0.017509 -0.129938 0.025004
