   Position (m)       Function
0.009901 0.015292 0.083208 0.091479
0.019802 0.002420 0.034100 0.035456
0.029703 0.064574 0.253878 0.010959
0.039604 0.116375 0.320099 0.117948
0.049505 0.090677 0.300081 0.025061
0.059406 0.209714 0.432702 -0.149942
0.069307 0.402875 0.605286 -0.191061
0.079208 0.423613 0.630927 -0.159824
0.089109 0.345443 0.549850 -0.207625
0.099010 0.368497 0.514406 -0.322310
0.108911 0.460834 0.563766 -0.378155
0.118812 0.478903 0.610959 -0.325012
0.128713 0.405225 0.588782 -0.241993
0.138614 0.339039 0.535215 -0.229312
0.148515 0.377355 0.536400 -0.299382
0.158416 0.534567 0.623478 -0.381894
0.168317 0.718587 0.742185 -0.409572
0.178218 0.804617 0.811917 -0.381323
0.188119 0.762972 0.801060 -0.348246
0.198020 0.682727 0.746881 -0.353407
0.207921 0.661600 0.713276 -0.390943
0.217822 0.713874 0.734277 -0.417986
0.227723 0.787657 0.792473 -0.399553
0.237624 0.826591 0.842453 -0.341854
0.247525 0.807098 0.851375 -0.286810
0.257426 0.751204 0.821429 -0.276511
0.267327 0.710648 0.780321 -0.318977
0.277228 0.712896 0.753262 -0.381434
0.287129 0.721017 0.741550 -0.413667
0.297030 0.669588 0.723510 -0.382258
0.306931 0.539717 0.674359 -0.291473
0.316832 0.377687 0.588037 -0.178605
0.326733 0.242954 0.484682 -0.089651
0.336634 0.162295 0.399407 -0.052629
0.346535 0.134757 0.361354 -0.064660
0.356436 0.152293 0.377672 -0.098267
0.366337 0.201381 0.432325 -0.120317
0.376238 0.261425 0.499106 -0.110984
0.386139 0.317944 0.559198 -0.072404
0.396040 0.374656 0.611613 -0.024198
0.405941 0.449404 0.670312 0.009299
0.415842 0.563566 0.750616 0.011946
0.425743 0.729895 0.854155 -0.017717
0.435644 0.930613 0.962267 -0.068226
0.445545 1.101763 1.042477 -0.122492
0.455446 1.161558 1.064904 -0.165945
0.465347 1.076173 1.019535 -0.191626
0.475248 0.895213 0.924599 -0.200822
0.485149 0.713882 0.820858 -0.200184
0.495050 0.607588 0.754068 -0.197406
0.504950 0.607588 0.754068 -0.197406
0.514851 0.713882 0.820858 -0.200184
0.524752 0.895213 0.924599 -0.200822
0.534653 1.076173 1.019535 -0.191626
0.544554 1.161558 1.064904 -0.165945
0.554455 1.101763 1.042477 -0.122492
0.564356 0.930613 0.962267 -0.068226
0.574257 0.729895 0.854155 -0.017717
0.584158 0.563566 0.750616 0.011946
0.594059 0.449404 0.670312 0.009299
0.603960 0.374656 0.611613 -0.024198
0.613861 0.317944 0.559198 -0.072404
0.623762 0.261425 0.499106 -0.110984
0.633663 0.201381 0.432325 -0.120317
0.643564 0.152293 0.377672 -0.098267
0.653465 0.134757 0.361354 -0.064660
0.663366 0.162295 0.399407 -0.052629
0.673267 0.242954 0.484682 -0.089651
0.683168 0.377687 0.588037 -0.178605
0.693069 0.539717 0.674359 -0.291473
0.702970 0.669588 0.723510 -0.382258
0.712871 0.721017 0.741550 -0.413667
0.722772 0.712896 0.753262 -0.381434
0.732673 0.710648 0.780321 -0.318977
0.742574 0.751204 0.821429 -0.276511
0.752475 0.807098 0.851375 -0.286810
0.762376 0.826591 0.842453 -0.341854
0.772277 0.787657 0.792473 -0.399553
0.782178 0.713874 0.734277 -0.417986
0.792079 0.661600 0.713276 -0.390943
0.801980 0.682727 0.746881 -0.353407
0.811881 0.762972 0.801060 -0.348246
0.821782 0.804617 0.811917 -0.381323
0.831683 0.718587 0.742185 -0.409572
0.841584 0.534567 0.623478 -0.381894
0.851485 0.377355 0.536400 -0.299382
0.861386 0.339039 0.535215 -0.229312
0.871287 0.405225 0.588782 -0.241993
0.881188 0.478903 0.610959 -0.325012
0.891089 0.460834 0.563766 -0.378155
0.900990 0.368497 0.514406 -0.322310
0.910891 0.345443 0.549850 -0.207625
0.920792 0.423613 0.630927 -0.159824
0.930693 0.402875 0.605286 -0.191061
0.940594 0.209714 0.432702 -0.149942
0.950495 0.090677 0.300081 0.025061
0.960396 0.116375 0.320099 0.117948
0.970297 0.064574 0.253878 0.010959
0.980198 0.002420 0.034100 0.035456
0.990099 0.015292 0.083208 0.091479
