   Position (m)       Function
0.009901 0.022835 -0.121619 0.089687
0.019802 0.044718 -0.131715 -0.165437
0.029703 0.015057 -0.015002 -0.121786
0.039604 0.010548 -0.102682 0.002130
0.049505 0.085376 -0.291944 -0.012039
0.059406 0.181521 -0.403249 -0.137516
0.069307 0.212833 -0.395992 -0.236693
0.079208 0.176012 -0.350305 -0.230864
0.089109 0.146733 -0.353245 -0.148159
0.099010 0.183355 -0.422715 -0.068318
0.108911 0.263010 -0.510621 -0.047704
0.118812 0.314042 -0.553932 -0.084858
0.128713 0.292009 -0.523016 -0.135878
0.138614 0.214477 -0.436830 -0.153808
0.148515 0.133447 -0.344893 -0.120401
0.158416 0.090073 -0.295374 -0.053173
0.168317 0.096561 -0.310578 0.010122
0.178218 0.146505 -0.381096 0.035645
0.188119 0.227714 -0.477059 0.011324
0.198020 0.323645 -0.566734 -0.049570
0.207921 0.412852 -0.631580 -0.118145
0.217822 0.478139 -0.671330 -0.165695
0.227723 0.519865 -0.698929 -0.177095
0.237624 0.557240 -0.729983 -0.156090
0.247525 0.612131 -0.772894 -0.121512
0.257426 0.688973 -0.824298 -0.097498
0.267327 0.769468 -0.871154 -0.102757
0.277228 0.826303 -0.897635 -0.143368
0.287129 0.842402 -0.893143 -0.211417
0.297030 0.819389 -0.857782 -0.289134
0.306931 0.771854 -0.803120 -0.356165
0.316832 0.717328 -0.748210 -0.396876
0.326733 0.672045 -0.712684 -0.405126
0.336634 0.652048 -0.709668 -0.385253
0.346535 0.671426 -0.741098 -0.349571
0.356436 0.733593 -0.796955 -0.313776
0.366337 0.822272 -0.858458 -0.292098
0.376238 0.903450 -0.903965 -0.293762
0.386139 0.941648 -0.915547 -0.321592
0.396040 0.920646 -0.884160 -0.372702
0.405941 0.853384 -0.811948 -0.440596
0.415842 0.773746 -0.711190 -0.517644
0.425743 0.717024 -0.600430 -0.597083
0.435644 0.703406 -0.499121 -0.674006
0.445545 0.733968 -0.422404 -0.745347
0.455446 0.797309 -0.377527 -0.809186
0.465347 0.877965 -0.362777 -0.863920
0.475248 0.960205 -0.369086 -0.907734
0.485149 1.028122 -0.383672 -0.938572
0.495050 1.066851 -0.394549 -0.954559
0.504950 1.066851 -0.394549 -0.954559
0.514851 1.028122 -0.383672 -0.938572
0.524752 0.960205 -0.369086 -0.907734
0.534653 0.877965 -0.362777 -0.863920
0.544554 0.797309 -0.377527 -0.809186
0.554455 0.733968 -0.422404 -0.745347
0.564356 0.703406 -0.499121 -0.674006
0.574257 0.717024 -0.600430 -0.597083
0.584158 0.773746 -0.711190 -0.517644
0.594059 0.853384 -0.811948 -0.440596
0.603960 0.920646 -0.884160 -0.372702
0.613861 0.941648 -0.915547 -0.321592
0.623762 0.903450 -0.903965 -0.293762
0.633663 0.822272 -0.858458 -0.292098
0.643564 0.733593 -0.796955 -0.313776
0.653465 0.671426 -0.741098 -0.349571
0.663366 0.652048 -0.709668 -0.385253
0.673267 0.672045 -0.712684 -0.405126
0.683168 0.717328 -0.748210 -0.396876
0.693069 0.771854 -0.803120 -0.356165
0.702970 0.819389 -0.857782 -0.289134
0.712871 0.842402 -0.893143 -0.211417
0.722772 0.826303 -0.897635 -0.143368
0.732673 0.769468 -0.871154 -0.102757
0.742574 0.688973 -0.824298 -0.097498
0.752475 0.612131 -0.772894 -0.121512
0.762376 0.557240 -0.729983 -0.156090
0.772277 0.519865 -0.698929 -0.177095
0.782178 0.478139 -0.671330 -0.165695
0.792079 0.412852 -0.631580 -0.118145
0.801980 0.323645 -0.566734 -0.049570
0.811881 0.227714 -0.477059 0.011324
0.821782 0.146505 -0.381096 0.035645
0.831683 0.096561 -0.310578 0.010122
0.841584 0.090073 -0.295374 -0.053173
0.851485 0.133447 -0.344893 -0.120401
0.861386 0.214477 -0.436830 -0.153808
0.871287 0.292009 -0.523016 -0.135878
0.881188 0.314042 -0.553932 -0.084858
0.891089 0.263010 -0.510621 -0.047704
0.900990 0.183355 -0.422715 -0.068318
0.910891 0.146733 -0.353245 -0.148159
0.920792 0.176012 -0.350305 -0.230864
0.930693 0.212833 -0.395992 -0.236693
0.940594 0.181521 -0.403249 -0.137516
0.950495 0.085376 -0.291944 -0.012039
0.960396 0.010548 -0.102682 0.002130
0.970297 0.015057 -0.015002 -0.121786
0.980198 0.044718 -0.131715 -0.165437
0.990099 0.022835 -0.121619 0.089687
