   Position (m)       Function
0.009901 0.030841 -0.156019 0.080617
0.019802 0.033008 -0.130845 -0.126046
0.029703 0.001758 -0.040345 -0.011394
0.039604 0.036428 -0.155047 0.111303
0.049505 0.086724 -0.288324 0.059945
0.059406 0.082774 -0.280848 -0.062437
0.069307 0.042267 -0.174006 -0.109493
0.079208 0.013439 -0.098699 -0.060810
0.089109 0.016084 -0.126813 -0.001630
0.099010 0.052756 -0.229136 -0.015894
0.108911 0.122077 -0.329957 -0.114918
0.118812 0.203692 -0.379672 -0.244010
0.128713 0.261383 -0.385263 -0.336088
0.138614 0.281980 -0.390338 -0.360024
0.148515 0.298651 -0.433432 -0.332848
0.158416 0.357669 -0.518496 -0.298045
0.168317 0.462421 -0.613883 -0.292520
0.178218 0.560534 -0.674401 -0.325140
0.188119 0.589210 -0.668792 -0.376732
0.198020 0.528918 -0.596094 -0.416642
0.207921 0.413216 -0.484077 -0.422949
0.217822 0.295243 -0.373742 -0.394411
0.227723 0.211918 -0.300013 -0.349156
0.237624 0.175518 -0.278454 -0.313020
0.247525 0.184849 -0.302927 -0.305096
0.257426 0.232295 -0.353054 -0.328097
0.267327 0.300089 -0.406170 -0.367580
0.277228 0.359801 -0.447601 -0.399317
0.287129 0.386180 -0.475127 -0.400543
0.297030 0.376288 -0.496892 -0.359703
0.306931 0.354449 -0.525014 -0.280729
0.316832 0.355876 -0.568539 -0.180665
0.326733 0.402400 -0.628987 -0.082312
0.336634 0.490087 -0.700042 -0.005320
0.346535 0.595895 -0.770870 0.040673
0.356436 0.694199 -0.831131 0.058480
0.366337 0.769844 -0.875291 0.060912
0.376238 0.822257 -0.904466 0.064795
0.386139 0.863228 -0.925300 0.083945
0.396040 0.911394 -0.946627 0.123658
0.405941 0.983472 -0.975494 0.178558
0.415842 1.083584 -1.014240 0.234309
0.425743 1.197207 -1.059710 0.272436
0.435644 1.296996 -1.104768 0.276559
0.445545 1.359340 -1.141354 0.238016
0.455446 1.379698 -1.163767 0.159198
0.465347 1.373790 -1.170860 0.053649
0.475248 1.363563 -1.166323 -0.057039
0.485149 1.360800 -1.157028 -0.148615
0.495050 1.362944 -1.150132 -0.200349
0.504950 1.362944 -1.150132 -0.200349
0.514851 1.360800 -1.157028 -0.148615
0.524752 1.363563 -1.166323 -0.057039
0.534653 1.373790 -1.170860 0.053649
0.544554 1.379698 -1.163767 0.159198
0.554455 1.359340 -1.141354 0.238016
0.564356 1.296996 -1.104768 0.276559
0.574257 1.197207 -1.059710 0.272436
0.584158 1.083584 -1.014240 0.234309
0.594059 0.983472 -0.975494 0.178558
0.603960 0.911394 -0.946627 0.123658
0.613861 0.863228 -0.925300 0.083945
0.623762 0.822257 -0.904466 0.064795
0.633663 0.769844 -0.875291 0.060912
0.643564 0.694199 -0.831131 0.058480
0.653465 0.595895 -0.770870 0.040673
0.663366 0.490087 -0.700042 -0.005320
0.673267 0.402400 -0.628987 -0.082312
0.683168 0.355876 -0.568539 -0.180665
0.693069 0.354449 -0.525014 -0.280729
0.702970 0.376288 -0.496892 -0.359703
0.712871 0.386180 -0.475127 -0.400543
0.722772 0.359801 -0.447601 -0.399317
0.732673 0.300089 -0.406170 -0.367580
0.742574 0.232295 -0.353054 -0.328097
0.752475 0.184849 -0.302927 -0.305096
0.762376 0.175518 -0.278454 -0.313020
0.772277 0.211918 -0.300013 -0.349156
0.782178 0.295243 -0.373742 -0.394411
0.792079 0.413216 -0.484077 -0.422949
0.801980 0.528918 -0.596094 -0.416642
0.811881 0.589210 -0.668792 -0.376732
0.821782 0.560534 -0.674401 -0.325140
0.831683 0.462421 -0.613883 -0.292520
0.841584 0.357669 -0.518496 -0.298045
0.851485 0.298651 -0.433432 -0.332848
0.861386 0.281980 -0.390338 -0.360024
0.871287 0.261383 -0.385263 -0.336088
0.881188 0.203692 -0.379672 -0.244010
0.891089 0.122077 -0.329957 -0.114918
0.900990 0.052756 -0.229136 -0.015894
0.910891 0.016084 -0.126813 -0.001630
0.920792 0.013439 -0.098699 -0.060810
0.930693 0.042267 -0.174006 -0.109493
0.940594 0.082774 -0.280848 -0.062437
0.950495 0.086724 -0.288324 0.059945
0.960396 0.036428 -0.155047 0.111303
0.970297 0.001758 -0.040345 -0.011394
0.980198 0.033008 -0.130845 -0.126046
0.990099 0.030841 -0.156019 0.080617
