   Position (m)       Function
0.009901 0.012522 0.111835 -0.003890
0.019802 0.043596 0.127765 -0.165142
0.029703 0.128281 0.308867 -0.181336
0.039604 0.070580 0.235759 -0.122466
0.049505 0.083165 0.141731 -0.251152
0.059406 0.154279 0.206093 -0.334372
0.069307 0.125217 0.240995 -0.259110
0.079208 0.069442 0.164176 -0.206128
0.089109 0.093772 0.128222 -0.278085
0.099010 0.187681 0.232222 -0.365723
0.108911 0.275415 0.380404 -0.361536
0.118812 0.289864 0.437900 -0.313223
0.128713 0.268381 0.396600 -0.333300
0.138614 0.319348 0.347186 -0.445881
0.148515 0.445979 0.346096 -0.571136
0.158416 0.527784 0.358011 -0.632149
0.168317 0.508140 0.318570 -0.637694
0.178218 0.480957 0.220031 -0.657680
0.188119 0.560864 0.122262 -0.738861
0.198020 0.742349 0.089910 -0.856893
0.207921 0.908699 0.130050 -0.944344
0.217822 0.947740 0.190209 -0.954757
0.227723 0.851767 0.210232 -0.898649
0.237624 0.712021 0.174652 -0.825541
0.247525 0.619838 0.120978 -0.777948
0.257426 0.590736 0.103619 -0.761577
0.267327 0.589766 0.148911 -0.753387
0.277228 0.594145 0.237507 -0.733304
0.287129 0.605801 0.323078 -0.708111
0.297030 0.635435 0.367633 -0.707305
0.306931 0.705698 0.365312 -0.756469
0.316832 0.840659 0.340089 -0.851469
0.326733 1.016132 0.324002 -0.954544
0.336634 1.143309 0.334767 -1.015500
0.346535 1.141103 0.368182 -1.002769
0.356436 1.017852 0.407312 -0.923011
0.366337 0.859182 0.438308 -0.816742
0.376238 0.749956 0.460055 -0.733693
0.386139 0.727436 0.481603 -0.703914
0.396040 0.782603 0.511264 -0.721950
0.405941 0.864918 0.546832 -0.752258
0.415842 0.894267 0.574537 -0.751115
0.425743 0.811438 0.577313 -0.691482
0.435644 0.631248 0.546203 -0.576983
0.445545 0.429299 0.486877 -0.438464
0.455446 0.274067 0.416959 -0.316563
0.465347 0.184925 0.356297 -0.240786
0.475248 0.147192 0.316793 -0.216413
0.485149 0.139828 0.298331 -0.225447
0.495050 0.143337 0.292817 -0.239990
0.504950 0.143337 0.292817 -0.239990
0.514851 0.139828 0.298331 -0.225447
0.524752 0.147192 0.316793 -0.216413
0.534653 0.184925 0.356297 -0.240786
0.544554 0.274067 0.416959 -0.316563
0.554455 0.429299 0.486877 -0.438464
0.564356 0.631248 0.546203 -0.576983
0.574257 0.811438 0.577313 -0.691482
0.584158 0.894267 0.574537 -0.751115
0.594059 0.864918 0.546832 -0.752258
0.603960 0.782603 0.511264 -0.721950
0.613861 0.727436 0.481603 -0.703914
0.623762 0.749956 0.460055 -0.733693
0.633663 0.859182 0.438308 -0.816742
0.643564 1.017852 0.407312 -0.923011
0.653465 1.141103 0.368182 -1.002769
0.663366 1.143309 0.334767 -1.015500
0.673267 1.016132 0.324002 -0.954544
0.683168 0.840659 0.340089 -0.851469
0.693069 0.705698 0.365312 -0.756469
0.702970 0.635435 0.367633 -0.707305
0.712871 0.605801 0.323078 -0.708111
0.722772 0.594145 0.237507 -0.733304
0.732673 0.589766 0.148911 -0.753387
0.742574 0.590736 0.103619 -0.761577
0.752475 0.619838 0.120978 -0.777948
0.762376 0.712021 0.174652 -0.825541
0.772277 0.851767 0.210232 -0.898649
0.782178 0.947740 0.190209 -0.954757
0.792079 0.908699 0.130050 -0.944344
0.801980 0.742349 0.089910 -0.856893
0.811881 0.560864 0.122262 -0.738861
0.821782 0.480957 0.220031 -0.657680
0.831683 0.508140 0.318570 -0.637694
0.841584 0.527784 0.358011 -0.632149
0.851485 0.445979 0.346096 -0.571136
0.861386 0.319348 0.347186 -0.445881
0.871287 0.268381 0.396600 -0.333300
0.881188 0.289864 0.437900 -0.313223
0.891089 0.275415 0.380404 -0.361536
0.900990 0.187681 0.232222 -0.365723
0.910891 0.093772 0.128222 -0.278085
0.920792 0.069442 0.164176 -0.206128
0.930693 0.125217 0.240995 -0.259110
0.940594 0.154279 0.206093 -0.334372
0.950495 0.083165 0.141731 -0.251152
0.960396 0.070580 0.235759 -0.122466
0.970297 0.128281 0.308867 -0.181336
0.980198 0.043596 0.127765 -0.165142
0.990099 0.012522 0.111835 -0.003890
