   Position (m)       Function
0.009901 0.020240 0.069998 -0.123855
0.019802 0.003447 -0.033180 0.048434
0.029703 0.052846 -0.208525 -0.096764
0.039604 0.096582 -0.175321 -0.256601
0.049505 0.071042 -0.109116 -0.243178
0.059406 0.052522 -0.171779 -0.151704
0.069307 0.126337 -0.330308 -0.131280
0.079208 0.253597 -0.456449 -0.212724
0.089109 0.325501 -0.473216 -0.318696
0.099010 0.295770 -0.403344 -0.364807
0.108911 0.214112 -0.321294 -0.332990
0.118812 0.152726 -0.281801 -0.270766
0.128713 0.139874 -0.285385 -0.241722
0.138614 0.162636 -0.293189 -0.276905
0.148515 0.200042 -0.266233 -0.359391
0.158416 0.234727 -0.196270 -0.442951
0.168317 0.247003 -0.110304 -0.484599
0.178218 0.222029 -0.051678 -0.468358
0.188119 0.169928 -0.053566 -0.408728
0.198020 0.128051 -0.121292 -0.336659
0.207921 0.131743 -0.231474 -0.279576
0.217822 0.180662 -0.345598 -0.247435
0.227723 0.237257 -0.428880 -0.230909
0.237624 0.260116 -0.464631 -0.210319
0.247525 0.238612 -0.458380 -0.168820
0.257426 0.196974 -0.431821 -0.102493
0.267327 0.169541 -0.411123 -0.022775
0.277228 0.175154 -0.415635 0.049002
0.287129 0.212354 -0.451639 0.091521
0.297030 0.271497 -0.512706 0.092894
0.306931 0.345510 -0.585173 0.055513
0.316832 0.429624 -0.655435 -0.005318
0.326733 0.516776 -0.715662 -0.067849
0.336634 0.599189 -0.765867 -0.112418
0.346535 0.676065 -0.812117 -0.128570
0.356436 0.757558 -0.862321 -0.118156
0.366337 0.858338 -0.921726 -0.093590
0.376238 0.985500 -0.990087 -0.072297
0.386139 1.131518 -1.061447 -0.069628
0.396040 1.277246 -1.126332 -0.092861
0.405941 1.400293 -1.175227 -0.138325
0.415842 1.481519 -1.201863 -0.192468
0.425743 1.508099 -1.205090 -0.236342
0.435644 1.476772 -1.188829 -0.251908
0.445545 1.398492 -1.160372 -0.228100
0.455446 1.299228 -1.127866 -0.164763
0.465347 1.211054 -1.098036 -0.073286
0.475248 1.156133 -1.074917 0.026185
0.485149 1.135480 -1.059883 0.110128
0.495050 1.133068 -1.052659 0.158038
0.504950 1.133068 -1.052659 0.158038
0.514851 1.135480 -1.059883 0.110128
0.524752 1.156133 -1.074917 0.026185
0.534653 1.211054 -1.098036 -0.073286
0.544554 1.299228 -1.127866 -0.164763
0.554455 1.398492 -1.160372 -0.228100
0.564356 1.476772 -1.188829 -0.251908
0.574257 1.508099 -1.205090 -0.236342
0.584158 1.481519 -1.201863 -0.192468
0.594059 1.400293 -1.175227 -0.138325
0.603960 1.277246 -1.126332 -0.092861
0.613861 1.131518 -1.061447 -0.069628
0.623762 0.985500 -0.990087 -0.072297
0.633663 0.858338 -0.921726 -0.093590
0.643564 0.757558 -0.862321 -0.118156
0.653465 0.676065 -0.812117 -0.128570
0.663366 0.599189 -0.765867 -0.112418
0.673267 0.516776 -0.715662 -0.067849
0.683168 0.429624 -0.655435 -0.005318
0.693069 0.345510 -0.585173 0.055513
0.702970 0.271497 -0.512706 0.092894
0.712871 0.212354 -0.451639 0.091521
0.722772 0.175154 -0.415635 0.049002
0.732673 0.169541 -0.411123 -0.022775
0.742574 0.196974 -0.431821 -0.102493
0.752475 0.238612 -0.458380 -0.168820
0.762376 0.260116 -0.464631 -0.210319
0.772277 0.237257 -0.428880 -0.230909
0.782178 0.180662 -0.345598 -0.247435
0.792079 0.131743 -0.231474 -0.279576
0.801980 0.128051 -0.121292 -0.336659
0.811881 0.169928 -0.053566 -0.408728
0.821782 0.222029 -0.051678 -0.468358
0.831683 0.247003 -0.110304 -0.484599
0.841584 0.234727 -0.196270 -0.442951
0.851485 0.200042 -0.266233 -0.359391
0.861386 0.162636 -0.293189 -0.276905
0.871287 0.139874 -0.285385 -0.241722
0.881188 0.152726 -0.281801 -0.270766
0.891089 0.214112 -0.321294 -0.332990
0.900990 0.295770 -0.403344 -0.364807
0.910891 0.325501 -0.473216 -0.318696
0.920792 0.253597 -0.456449 -0.212724
0.930693 0.126337 -0.330308 -0.131280
0.940594 0.052522 -0.171779 -0.151704
0.950495 0.071042 -0.109116 -0.243178
0.960396 0.096582 -0.175321 -0.256601
0.970297 0.052846 -0.208525 -0.096764
0.980198 0.003447 -0.033180 0.048434
0.990099 0.020240 0.069998 -0.123855
