   Position (m)       Function
0.009901 0.003072 0.000530 0.055421
0.019802 0.001695 0.020451 -0.035734
0.029703 0.024093 0.128324 0.087326
0.039604 0.020324 0.039673 0.136932
0.049505 0.011357 0.099073 0.039268
0.059406 0.070131 0.255498 0.069651
0.069307 0.090697 0.270925 0.131518
0.079208 0.052796 0.227747 0.030452
0.089109 0.102766 0.286255 -0.144303
0.099010 0.191146 0.379388 -0.217281
0.108911 0.166585 0.356241 -0.199192
0.118812 0.092884 0.222115 -0.208684
0.128713 0.081549 0.104824 -0.265634
0.138614 0.082596 0.066928 -0.279494
0.148515 0.041901 0.046913 -0.199248
0.158416 0.009604 -0.030916 -0.092996
0.168317 0.028136 -0.152808 -0.069179
0.178218 0.082731 -0.240051 -0.158450
0.188119 0.147108 -0.247194 -0.293264
0.198020 0.194160 -0.209849 -0.387457
0.207921 0.211842 -0.198588 -0.415216
0.217822 0.229779 -0.242618 -0.413420
0.227723 0.273627 -0.305762 -0.424425
0.237624 0.311735 -0.330882 -0.449725
0.247525 0.299968 -0.300313 -0.458017
0.257426 0.248394 -0.253529 -0.429088
0.267327 0.209987 -0.251166 -0.383279
0.277228 0.239598 -0.323311 -0.367517
0.287129 0.371070 -0.447387 -0.413418
0.297030 0.581494 -0.569422 -0.507201
0.306931 0.773888 -0.645612 -0.597556
0.316832 0.849546 -0.669405 -0.633595
0.326733 0.806230 -0.666851 -0.601282
0.336634 0.730763 -0.670093 -0.530790
0.346535 0.702985 -0.693058 -0.471864
0.356436 0.737890 -0.726629 -0.458149
0.366337 0.803263 -0.752353 -0.487061
0.376238 0.856095 -0.759978 -0.527758
0.386139 0.869865 -0.754251 -0.548607
0.396040 0.853708 -0.747635 -0.542909
0.405941 0.844698 -0.747391 -0.534888
0.415842 0.877652 -0.748845 -0.562923
0.425743 0.973468 -0.740202 -0.652357
0.435644 1.144182 -0.714282 -0.796230
0.445545 1.372677 -0.677065 -0.956169
0.455446 1.588773 -0.645689 -1.082524
0.465347 1.708273 -0.636983 -1.141282
0.475248 1.710106 -0.655009 -1.131843
0.485149 1.650674 -0.687025 -1.085666
0.495050 1.602111 -0.711245 -1.047016
0.504950 1.602111 -0.711245 -1.047016
0.514851 1.650674 -0.687025 -1.085666
0.524752 1.710106 -0.655009 -1.131843
0.534653 1.708273 -0.636983 -1.141282
0.544554 1.588773 -0.645689 -1.082524
0.554455 1.372677 -0.677065 -0.956169
0.564356 1.144182 -0.714282 -0.796230
0.574257 0.973468 -0.740202 -0.652357
0.584158 0.877652 -0.748845 -0.562923
0.594059 0.844698 -0.747391 -0.534888
0.603960 0.853708 -0.747635 -0.542909
0.613861 0.869865 -0.754251 -0.548607
0.623762 0.856095 -0.759978 -0.527758
0.633663 0.803263 -0.752353 -0.487061
0.643564 0.737890 -0.726629 -0.458149
0.653465 0.702985 -0.693058 -0.471864
0.663366 0.730763 -0.670093 -0.530790
0.673267 0.806230 -0.666851 -0.601282
0.683168 0.849546 -0.669405 -0.633595
0.693069 0.773888 -0.645612 -0.597556
0.702970 0.581494 -0.569422 -0.507201
0.712871 0.371070 -0.447387 -0.413418
0.722772 0.239598 -0.323311 -0.367517
0.732673 0.209987 -0.251166 -0.383279
0.742574 0.248394 -0.253529 -0.429088
0.752475 0.299968 -0.300313 -0.458017
0.762376 0.311735 -0.330882 -0.449725
0.772277 0.273627 -0.305762 -0.424425
0.782178 0.229779 -0.242618 -0.413420
0.792079 0.211842 -0.198588 -0.415216
0.801980 0.194160 -0.209849 -0.387457
0.811881 0.147108 -0.247194 -0.293264
0.821782 0.082731 -0.240051 -0.158450
0.831683 0.028136 -0.152808 -0.069179
0.841584 0.009604 -0.030916 -0.092996
0.851485 0.041901 0.046913 -0.199248
0.861386 0.082596 0.066928 -0.279494
0.871287 0.081549 0.104824 -0.265634
0.881188 0.092884 0.222115 -0.208684
0.891089 0.166585 0.356241 -0.199192
0.900990 0.191146 0.379388 -0.217281
0.910891 0.102766 0.286255 -0.144303
0.920792 0.052796 0.227747 0.030452
0.930693 0.090697 0.270925 0.131518
0.940594 0.070131 0.255498 0.069651
0.950495 0.011357 0.099073 0.039268
0.960396 0.020324 0.039673 0.136932
0.970297 0.024093 0.128324 0.087326
0.980198 0.001695 0.020451 -0.035734
0.990099 0.003072 0.000530 0.055421
