   Position (m)       Function
0.009901 0.001962 0.035775 0.026113
0.019802 0.061509 -0.177363 0.173354
0.029703 0.064279 -0.251398 0.032834
0.039604 0.026471 -0.156579 0.044206
0.049505 0.068402 -0.187796 0.182030
0.059406 0.167316 -0.341386 0.225327
0.069307 0.214165 -0.438676 0.147407
0.079208 0.176113 -0.410149 0.088830
0.089109 0.138420 -0.341178 0.148384
0.099010 0.196835 -0.335380 0.290439
0.108911 0.334607 -0.403641 0.414345
0.118812 0.439211 -0.474894 0.462263
0.128713 0.438083 -0.479275 0.456485
0.138614 0.377060 -0.410251 0.456896
0.148515 0.350575 -0.320373 0.497932
0.158416 0.389412 -0.271405 0.561918
0.168317 0.444112 -0.287879 0.601031
0.178218 0.457390 -0.347050 0.580471
0.188119 0.419923 -0.403829 0.506799
0.198020 0.360975 -0.425765 0.423909
0.207921 0.318013 -0.412563 0.384454
0.217822 0.327911 -0.390619 0.418721
0.227723 0.423478 -0.391076 0.520132
0.237624 0.609814 -0.428333 0.652951
0.247525 0.841456 -0.492291 0.774019
0.257426 1.039786 -0.556844 0.854231
0.267327 1.146128 -0.597147 0.888562
0.277228 1.160667 -0.604328 0.891882
0.287129 1.132106 -0.589469 0.885795
0.297030 1.115187 -0.575753 0.885266
0.306931 1.137028 -0.584198 0.892043
0.316832 1.190228 -0.621132 0.896896
0.326733 1.242080 -0.673828 0.887713
0.336634 1.248848 -0.716011 0.858007
0.346535 1.176406 -0.720057 0.811125
0.356436 1.023959 -0.669863 0.758448
0.366337 0.831954 -0.568594 0.713201
0.376238 0.659300 -0.438235 0.683557
0.386139 0.544150 -0.311580 0.668632
0.396040 0.483033 -0.220347 0.659151
0.405941 0.446326 -0.184257 0.642164
0.415842 0.410847 -0.205123 0.607265
0.425743 0.375628 -0.267692 0.551333
0.435644 0.350104 -0.346332 0.479748
0.445545 0.335011 -0.414661 0.403816
0.455446 0.319346 -0.454438 0.335905
0.465347 0.293269 -0.460688 0.284668
0.475248 0.258768 -0.441596 0.252510
0.485149 0.226927 -0.413675 0.236219
0.495050 0.208417 -0.394271 0.230147
0.504950 0.208417 -0.394271 0.230147
0.514851 0.226927 -0.413675 0.236219
0.524752 0.258768 -0.441596 0.252510
0.534653 0.293269 -0.460688 0.284668
0.544554 0.319346 -0.454438 0.335905
0.554455 0.335011 -0.414661 0.403816
0.564356 0.350104 -0.346332 0.479748
0.574257 0.375628 -0.267692 0.551333
0.584158 0.410847 -0.205123 0.607265
0.594059 0.446326 -0.184257 0.642164
0.603960 0.483033 -0.220347 0.659151
0.613861 0.544150 -0.311580 0.668632
0.623762 0.659300 -0.438235 0.683557
0.633663 0.831954 -0.568594 0.713201
0.643564 1.023959 -0.669863 0.758448
0.653465 1.176406 -0.720057 0.811125
0.663366 1.248848 -0.716011 0.858007
0.673267 1.242080 -0.673828 0.887713
0.683168 1.190228 -0.621132 0.896896
0.693069 1.137028 -0.584198 0.892043
0.702970 1.115187 -0.575753 0.885266
0.712871 1.132106 -0.589469 0.885795
0.722772 1.160667 -0.604328 0.891882
0.732673 1.146128 -0.597147 0.888562
0.742574 1.039786 -0.556844 0.854231
0.752475 0.841456 -0.492291 0.774019
0.762376 0.609814 -0.428333 0.652951
0.772277 0.423478 -0.391076 0.520132
0.782178 0.327911 -0.390619 0.418721
0.792079 0.318013 -0.412563 0.384454
0.801980 0.360975 -0.425765 0.423909
0.811881 0.419923 -0.403829 0.506799
0.821782 0.457390 -0.347050 0.580471
0.831683 0.444112 -0.287879 0.601031
0.841584 0.389412 -0.271405 0.561918
0.851485 0.350575 -0.320373 0.497932
0.861386 0.377060 -0.410251 0.456896
0.871287 0.438083 -0.479275 0.456485
0.881188 0.439211 -0.474894 0.462263
0.891089 0.334607 -0.403641 0.414345
0.900990 0.196835 -0.335380 0.290439
0.910891 0.138420 -0.341178 0.148384
0.920792 0.176113 -0.410149 0.088830
0.930693 0.214165 -0.438676 0.147407
0.940594 0.167316 -0.341386 0.225327
0.950495 0.068402 -0.187796 0.182030
0.960396 0.026471 -0.156579 0.044206
0.970297 0.064279 -0.251398 0.032834
0.980198 0.061509 -0.177363 0.173354
0.990099 0.001962 0.035775 0.026113
