   Position (m)       Function
0.009901 0.040948 0.028857 -0.200288
0.019802 0.018389 0.134082 0.020268
0.029703 0.004634 -0.031440 0.060375
0.039604 0.027904 -0.139131 -0.092449
0.049505 0.079985 -0.103665 -0.263133
0.059406 0.115294 -0.009154 -0.339427
0.069307 0.109329 0.036589 -0.328619
0.079208 0.091974 -0.010132 -0.303104
0.089109 0.121539 -0.120958 -0.326968
0.099010 0.228010 -0.234616 -0.415891
0.108911 0.381689 -0.301434 -0.539284
0.118812 0.514005 -0.307322 -0.647733
0.128713 0.568262 -0.272126 -0.703000
0.138614 0.536645 -0.231480 -0.695027
0.148515 0.458388 -0.215796 -0.641732
0.158416 0.388350 -0.236858 -0.576410
0.168317 0.364090 -0.285948 -0.531342
0.178218 0.392593 -0.341472 -0.525348
0.188119 0.457673 -0.380653 -0.559264
0.198020 0.535263 -0.389658 -0.619217
0.207921 0.604502 -0.368440 -0.684656
0.217822 0.651821 -0.329433 -0.737085
0.227723 0.672097 -0.291627 -0.766192
0.237624 0.670031 -0.272930 -0.771713
0.247525 0.660051 -0.283711 -0.761288
0.257426 0.660988 -0.323544 -0.745860
0.267327 0.685535 -0.381753 -0.734710
0.277228 0.730317 -0.441113 -0.731940
0.287129 0.774278 -0.483161 -0.735414
0.297030 0.788335 -0.493393 -0.738172
0.306931 0.751295 -0.464898 -0.731550
0.316832 0.662062 -0.399639 -0.708767
0.326733 0.540415 -0.307357 -0.667792
0.336634 0.416375 -0.202690 -0.612611
0.346535 0.315676 -0.101451 -0.552615
0.356436 0.250682 -0.017095 -0.500389
0.366337 0.221330 0.041844 -0.468593
0.376238 0.223247 0.072887 -0.466834
0.386139 0.255641 0.079286 -0.499354
0.396040 0.322877 0.068531 -0.564075
0.405941 0.429150 0.050195 -0.653170
0.415842 0.571051 0.033676 -0.754928
0.425743 0.734104 0.026307 -0.856395
0.435644 0.896129 0.032147 -0.946095
0.445545 1.035351 0.051595 -1.016213
0.455446 1.138216 0.081733 -1.063737
0.465347 1.202656 0.117259 -1.090370
0.475248 1.235947 0.151728 -1.101329
0.485149 1.249427 0.178875 -1.103372
0.495050 1.253286 0.193791 -1.102602
0.504950 1.253286 0.193791 -1.102602
0.514851 1.249427 0.178875 -1.103372
0.524752 1.235947 0.151728 -1.101329
0.534653 1.202656 0.117259 -1.090370
0.544554 1.138216 0.081733 -1.063737
0.554455 1.035351 0.051595 -1.016213
0.564356 0.896129 0.032147 -0.946095
0.574257 0.734104 0.026307 -0.856395
0.584158 0.571051 0.033676 -0.754928
0.594059 0.429150 0.050195 -0.653170
0.603960 0.322877 0.068531 -0.564075
0.613861 0.255641 0.079286 -0.499354
0.623762 0.223247 0.072887 -0.466834
0.633663 0.221330 0.041844 -0.468593
0.643564 0.250682 -0.017095 -0.500389
0.653465 0.315676 -0.101451 -0.552615
0.663366 0.416375 -0.202690 -0.612611
0.673267 0.540415 -0.307357 -0.667792
0.683168 0.662062 -0.399639 -0.708767
0.693069 0.751295 -0.464898 -0.731550
0.702970 0.788335 -0.493393 -0.738172
0.712871 0.774278 -0.483161 -0.735414
0.722772 0.730317 -0.441113 -0.731940
0.732673 0.685535 -0.381753 -0.734710
0.742574 0.660988 -0.323544 -0.745860
0.752475 0.660051 -0.283711 -0.761288
0.762376 0.670031 -0.272930 -0.771713
0.772277 0.672097 -0.291627 -0.766192
0.782178 0.651821 -0.329433 -0.737085
0.792079 0.604502 -0.368440 -0.684656
0.801980 0.535263 -0.389658 -0.619217
0.811881 0.457673 -0.380653 -0.559264
0.821782 0.392593 -0.341472 -0.525348
0.831683 0.364090 -0.285948 -0.531342
0.841584 0.388350 -0.236858 -0.576410
0.851485 0.458388 -0.215796 -0.641732
0.861386 0.536645 -0.231480 -0.695027
0.871287 0.568262 -0.272126 -0.703000
0.881188 0.514005 -0.307322 -0.647733
0.891089 0.381689 -0.301434 -0.539284
0.900990 0.228010 -0.234616 -0.415891
0.910891 0.121539 -0.120958 -0.326968
0.920792 0.091974 -0.010132 -0.303104
0.930693 0.109329 0.036589 -0.328619
0.940594 0.115294 -0.009154 -0.339427
0.950495 0.079985 -0.103665 -0.263133
0.960396 0.027904 -0.139131 -0.092449
0.970297 0.004634 -0.031440 0.060375
0.980198 0.018389 0.134082 0.020268
0.990099 0.040948 0.028857 -0.200288
