   Position (m)       Function
0.009901 0.031459 0.066091 -0.164592
0.019802 0.097514 0.254458 -0.181011
0.029703 0.083825 0.165450 -0.237596
0.039604 0.226765 0.220254 -0.422200
0.049505 0.278100 0.340116 -0.403015
0.059406 0.176403 0.290555 -0.303283
0.069307 0.148166 0.195021 -0.331862
0.079208 0.231689 0.240911 -0.416714
0.089109 0.312876 0.383448 -0.407239
0.099010 0.328493 0.472531 -0.324358
0.108911 0.316486 0.476736 -0.298679
0.118812 0.379748 0.486234 -0.378583
0.128713 0.550731 0.563010 -0.483478
0.138614 0.705194 0.661720 -0.517030
0.148515 0.705742 0.694408 -0.472800
0.158416 0.580850 0.634418 -0.422332
0.168317 0.475374 0.541229 -0.427136
0.178218 0.476755 0.496342 -0.479999
0.188119 0.554959 0.528194 -0.525329
0.198020 0.627948 0.596442 -0.521732
0.207921 0.636730 0.637534 -0.479875
0.217822 0.583605 0.620554 -0.445553
0.227723 0.524123 0.565317 -0.452260
0.237624 0.505966 0.516250 -0.489339
0.247525 0.513585 0.502475 -0.510983
0.257426 0.494026 0.518795 -0.474213
0.267327 0.429022 0.538542 -0.372820
0.277228 0.352467 0.542144 -0.241965
0.287129 0.304878 0.535884 -0.133063
0.297030 0.305535 0.546970 -0.079744
0.306931 0.367474 0.601042 -0.078884
0.316832 0.500343 0.700634 -0.097235
0.326733 0.682391 0.820462 -0.096089
0.336634 0.853183 0.921969 -0.056180
0.346535 0.952969 0.976124 0.012289
0.356436 0.964432 0.978934 0.078228
0.366337 0.915031 0.950339 0.109031
0.376238 0.851627 0.918618 0.088140
0.386139 0.812995 0.901405 0.021548
0.396040 0.806671 0.895564 -0.068086
0.405941 0.801212 0.881731 -0.154148
0.415842 0.752801 0.839898 -0.217651
0.425743 0.650193 0.765842 -0.252347
0.435644 0.528758 0.678031 -0.262738
0.445545 0.439410 0.610513 -0.258232
0.455446 0.415900 0.595475 -0.247606
0.465347 0.471955 0.645052 -0.236353
0.475248 0.602744 0.742467 -0.226908
0.485149 0.767049 0.847690 -0.220161
0.495050 0.884523 0.915206 -0.216614
0.504950 0.884523 0.915206 -0.216614
0.514851 0.767049 0.847690 -0.220161
0.524752 0.602744 0.742467 -0.226908
0.534653 0.471955 0.645052 -0.236353
0.544554 0.415900 0.595475 -0.247606
0.554455 0.439410 0.610513 -0.258232
0.564356 0.528758 0.678031 -0.262738
0.574257 0.650193 0.765842 -0.252347
0.584158 0.752801 0.839898 -0.217651
0.594059 0.801212 0.881731 -0.154148
0.603960 0.806671 0.895564 -0.068086
0.613861 0.812995 0.901405 0.021548
0.623762 0.851627 0.918618 0.088140
0.633663 0.915031 0.950339 0.109031
0.643564 0.964432 0.978934 0.078228
0.653465 0.952969 0.976124 0.012289
0.663366 0.853183 0.921969 -0.056180
0.673267 0.682391 0.820462 -0.096089
0.683168 0.500343 0.700634 -0.097235
0.693069 0.367474 0.601042 -0.078884
0.702970 0.305535 0.546970 -0.079744
0.712871 0.304878 0.535884 -0.133063
0.722772 0.352467 0.542144 -0.241965
0.732673 0.429022 0.538542 -0.372820
0.742574 0.494026 0.518795 -0.474213
0.752475 0.513585 0.502475 -0.510983
0.762376 0.505966 0.516250 -0.489339
0.772277 0.524123 0.565317 -0.452260
0.782178 0.583605 0.620554 -0.445553
0.792079 0.636730 0.637534 -0.479875
0.801980 0.627948 0.596442 -0.521732
0.811881 0.554959 0.528194 -0.525329
0.821782 0.476755 0.496342 -0.479999
0.831683 0.475374 0.541229 -0.427136
0.841584 0.580850 0.634418 -0.422332
0.851485 0.705742 0.694408 -0.472800
0.861386 0.705194 0.661720 -0.517030
0.871287 0.550731 0.563010 -0.483478
0.881188 0.379748 0.486234 -0.378583
0.891089 0.316486 0.476736 -0.298679
0.900990 0.328493 0.472531 -0.324358
0.910891 0.312876 0.383448 -0.407239
0.920792 0.231689 0.240911 -0.416714
0.930693 0.148166 0.195021 -0.331862
0.940594 0.176403 0.290555 -0.303283
0.950495 0.278100 0.340116 -0.403015
0.960396 0.226765 0.220254 -0.422200
0.970297 0.083825 0.165450 -0.237596
0.980198 0.097514 0.254458 -0.181011
0.990099 0.031459 0.066091 -0.164592
